CustID,State,Age,Plan,MonthlyRecharge,DataGB,CallsMin,SMS,Churn
36,Punjab,28,Postpaid,1945.52,3.39,385,316,No
37,Assam,24,Prepaid,1561.56,96.44,551,482,Yes
38,Rajasthan,56,Prepaid,1110.6,65.87,794,79,Yes
39,Nagaland,60,Prepaid,1297.06,92.14,505,256,Yes
40,Chhattisgarh,51,Prepaid,1800.09,50.51,238,312,No
41,Manipur,44,Postpaid,132.22,65.71,440,40,Yes
42,Arunachal Pradesh,36,Prepaid,1282.28,11.99,640,375,Yes
43,Andhra Pradesh,70,Prepaid,166.34,14.58,359,234,Yes
44,Jharkhand,68,Postpaid,1624.67,14.3,292,342,No
45,Kerala,46,Prepaid,1081.79,85.83,362,34,Yes
46,Tripura,55,Prepaid,1157.74,34.23,497,31,No
47,Manipur,43,Postpaid,278.86,2.21,87,151,No
48,Sikkim,69,Postpaid,307.35,21,806,436,Yes
49,Andhra Pradesh,45,Postpaid,172.82,90.65,632,200,Yes
50,Manipur,68,Prepaid,1004.86,60.36,73,43,No
51,Gujarat,43,Postpaid,56.6,4.02,728,129,No
52,Telangana,62,Postpaid,805.35,38.16,865,159,No
53,Assam,43,Postpaid,1533.72,25.9,610,460,Yes
54,Bihar,36,Postpaid,1671.44,30.24,567,311,Yes
55,Uttarakhand,41,Prepaid,586.17,2.63,551,272,Yes
56,Jharkhand,28,Prepaid,318.5,54.66,507,204,Yes
57,Haryana,27,Prepaid,559.87,2.18,507,39,Yes
58,Jharkhand,44,Prepaid,843.59,72.81,216,159,Yes
59,Nagaland,37,Prepaid,89.93,85.08,80,363,Yes
60,Rajasthan,58,Prepaid,872.3,53.98,459,381,No
61,Jharkhand,47,Prepaid,824.69,93.62,688,19,Yes
62,Chhattisgarh,55,Prepaid,822.88,20.13,678,485,Yes
63,Rajasthan,60,Prepaid,178.73,99.7,303,268,Yes
64,Tamil Nadu,60,Postpaid,457.62,3.61,382,318,No
65,Chhattisgarh,41,Postpaid,1535.16,5.99,186,77,Yes
66,Mizoram,49,Prepaid,899.58,65.15,55,169,Yes
67,Rajasthan,32,Prepaid,322.97,14.68,301,326,No
68,Sikkim,37,Postpaid,1876.45,4.66,182,215,No
69,Arunachal Pradesh,29,Postpaid,1323.27,79.01,638,495,Yes
70,Telangana,51,Postpaid,154.91,43.54,283,112,Yes
71,Tamil Nadu,23,Postpaid,1048.39,49.84,686,33,Yes
72,Haryana,23,Postpaid,1610.48,63.93,725,432,No
73,Punjab,33,Prepaid,1023.48,22.69,334,177,Yes
74,Sikkim,26,Postpaid,261.15,2.93,95,100,Yes
75,Rajasthan,60,Prepaid,387.56,28.49,208,222,No
76,Goa,36,Prepaid,84.49,34.57,259,364,No
77,Maharashtra,70,Postpaid,577.54,22.37,343,359,Yes
78,Tripura,48,Postpaid,1440.14,56.41,552,269,Yes
79,Maharashtra,51,Prepaid,642.33,1.15,631,4,No
80,Jharkhand,56,Prepaid,571.67,10.93,567,339,Yes
81,Andhra Pradesh,38,Postpaid,325.29,5.05,295,448,Yes
82,Arunachal Pradesh,41,Postpaid,1150.19,75.89,214,238,No
83,Telangana,47,Prepaid,834.72,1.93,985,230,Yes
84,Maharashtra,69,Prepaid,587.56,62.03,503,206,No
85,Kerala,41,Prepaid,611.96,64.14,660,455,No
86,Tripura,49,Postpaid,1064.16,74.85,73,370,No
87,Goa,41,Postpaid,71.9,59.54,106,301,Yes
88,Kerala,52,Prepaid,1458.99,7.44,927,455,Yes
89,Sikkim,19,Postpaid,1166.18,50,568,256,No
90,Goa,29,Prepaid,1016.08,42.21,341,301,No
91,Maharashtra,68,Postpaid,703.96,11.91,656,287,Yes
92,Punjab,44,Prepaid,353.97,23.35,420,132,Yes
93,West Bengal,56,Postpaid,105.01,47.42,266,116,No
94,Gujarat,44,Postpaid,1644.58,46.85,857,19,No
95,Rajasthan,53,Prepaid,1284.63,23.7,367,477,Yes
96,Chhattisgarh,65,Postpaid,517.14,58.88,912,137,No
97,Assam,32,Postpaid,1175.63,23.74,857,495,No
98,Himachal Pradesh,68,Postpaid,1561.37,2.54,677,396,Yes
99,Tripura,60,Postpaid,1114.6,72.31,777,326,Yes
100,Karnataka,50,Prepaid,1296.07,41,733,367,Yes
101,Chhattisgarh,39,Prepaid,753.83,90.43,943,148,Yes
102,Tamil Nadu,32,Postpaid,1960.57,90.24,400,12,No
103,Punjab,56,Postpaid,1468,30.43,884,327,Yes
104,Andhra Pradesh,59,Postpaid,143.61,2.13,339,423,No
105,Madhya Pradesh,65,Postpaid,1265.79,53.72,158,22,No
106,Sikkim,62,Prepaid,592.49,34.84,488,427,Yes
107,Mizoram,18,Prepaid,1108.69,97.95,960,67,Yes
108,Tripura,31,Prepaid,1375.18,49.54,195,222,No
109,Andhra Pradesh,29,Postpaid,900.45,30.74,877,172,Yes
110,Haryana,42,Postpaid,1564.4,30.59,452,20,No
111,Telangana,19,Postpaid,152.31,3.43,994,303,No
112,Goa,19,Prepaid,313.61,48.82,786,138,Yes
113,Madhya Pradesh,34,Postpaid,690.78,38.71,635,310,No
114,Goa,32,Prepaid,875.57,99.49,992,153,No
115,Madhya Pradesh,66,Postpaid,395.54,63.45,741,52,No
116,Uttarakhand,30,Prepaid,768.56,54.58,807,206,Yes
117,Sikkim,56,Prepaid,1109.4,81.65,692,474,No
118,Manipur,35,Postpaid,1704.78,16.02,924,97,No
119,Andhra Pradesh,47,Prepaid,316.31,41.75,217,201,Yes
120,Meghalaya,42,Postpaid,164.46,33.95,269,288,Yes
121,Punjab,67,Prepaid,1688.18,10.63,370,295,Yes
122,Nagaland,54,Postpaid,1167.27,39.48,396,12,No
123,Chhattisgarh,38,Prepaid,383.86,81.76,984,327,No
124,Haryana,70,Postpaid,1524.84,66.14,841,235,Yes
125,Haryana,67,Postpaid,1369.99,72.2,667,26,Yes
126,Himachal Pradesh,65,Prepaid,1376.26,34.58,253,406,No
127,Gujarat,52,Postpaid,609.87,88.68,455,103,No
128,Chhattisgarh,56,Postpaid,674.96,88.96,933,272,No
129,Sikkim,43,Prepaid,1667.59,46.52,980,276,Yes
130,Nagaland,43,Prepaid,1211.68,80.49,97,363,Yes
131,Jharkhand,18,Prepaid,696.09,46.3,787,488,No
132,Maharashtra,66,Postpaid,1021.59,88.45,957,297,No
133,Rajasthan,68,Prepaid,1206.61,8.41,700,214,Yes
134,Punjab,24,Prepaid,1420.05,32.31,248,287,Yes
135,West Bengal,34,Postpaid,1070.04,33.76,769,96,Yes
136,Tamil Nadu,66,Postpaid,576.93,73.13,737,161,No
137,Madhya Pradesh,30,Postpaid,1010.59,57.49,488,359,No
138,Himachal Pradesh,19,Prepaid,175.24,19.81,102,369,No
139,Telangana,61,Postpaid,582.83,9.32,990,90,Yes
140,Sikkim,58,Prepaid,51.93,94.79,651,266,No
141,Tripura,30,Prepaid,1689.55,66.23,229,346,Yes
142,Himachal Pradesh,20,Postpaid,1161.04,31.82,74,411,No
143,Karnataka,31,Prepaid,894.22,97.57,890,268,No
144,Himachal Pradesh,32,Postpaid,1416.68,90.04,339,257,Yes
145,Uttarakhand,58,Postpaid,1724.75,15.9,62,139,Yes
146,Haryana,54,Prepaid,1705.79,42.67,600,172,Yes
147,Tripura,26,Prepaid,621.83,16.97,528,100,No
148,Mizoram,34,Postpaid,939.41,58.37,692,422,No
149,Nagaland,41,Prepaid,1928.23,22.36,61,298,No
150,Punjab,48,Postpaid,1747.36,92.37,573,14,No
151,Karnataka,20,Prepaid,1568.95,90.02,940,234,No
152,Jharkhand,42,Prepaid,1903,76.55,818,441,No
153,Manipur,57,Prepaid,539.36,11.39,614,348,Yes
154,Tripura,68,Postpaid,1685.89,67.04,257,6,No
155,Sikkim,30,Prepaid,276.53,36.36,711,427,No
156,Arunachal Pradesh,29,Prepaid,373.79,85.22,264,249,Yes
157,Haryana,51,Prepaid,66.04,43.92,727,479,No
158,Kerala,39,Postpaid,91.61,6.84,141,434,No
159,Punjab,22,Prepaid,316,86.72,135,272,Yes
160,Odisha,66,Postpaid,1251.07,68.25,153,207,Yes
161,Madhya Pradesh,33,Postpaid,903.34,85.64,214,439,No
162,Tripura,70,Postpaid,889.69,96.83,748,16,No
163,Kerala,46,Postpaid,1642.91,7.81,316,223,Yes
164,Assam,49,Postpaid,90.54,33.21,76,157,No
165,Tripura,23,Postpaid,657.97,55.92,712,430,Yes
166,Rajasthan,44,Postpaid,282.16,90.9,843,496,Yes
167,Punjab,54,Prepaid,1714.7,27.35,560,346,Yes
168,Gujarat,18,Prepaid,666.29,66.17,263,472,Yes
169,Assam,24,Postpaid,1951.1,50.34,865,10,No
170,West Bengal,18,Prepaid,127.27,73.4,555,83,Yes
171,Haryana,43,Prepaid,770.42,71.02,889,370,No
172,Nagaland,36,Prepaid,531.53,31.92,698,163,Yes
173,Maharashtra,64,Prepaid,947.33,99.29,479,234,Yes
174,Meghalaya,63,Postpaid,1581.44,38.82,606,216,Yes
175,Mizoram,46,Postpaid,532.65,13.1,613,100,No
176,Kerala,45,Prepaid,1797.34,95.95,856,134,No
177,Himachal Pradesh,23,Postpaid,248.56,21.42,321,426,Yes
178,Arunachal Pradesh,51,Prepaid,1195.8,76.11,159,312,Yes
179,Jharkhand,59,Prepaid,1285.35,35.7,662,72,Yes
180,Odisha,50,Postpaid,1256.96,91.59,899,209,Yes
181,Madhya Pradesh,60,Prepaid,1841.57,38.82,311,131,Yes
182,Gujarat,41,Postpaid,1816.19,35.49,98,90,Yes
183,Uttar Pradesh,18,Postpaid,704.66,44.74,52,234,No
184,Manipur,38,Prepaid,1092.06,74.13,358,81,No
185,Rajasthan,45,Postpaid,1823.15,44.43,94,295,No
186,Meghalaya,34,Prepaid,521.31,52.62,720,234,No
187,Assam,21,Postpaid,1453.37,30.69,594,87,No
188,Madhya Pradesh,60,Prepaid,1092.85,27.63,209,278,Yes
189,Andhra Pradesh,44,Postpaid,328.59,25.06,967,485,No
190,Gujarat,20,Postpaid,986.92,86.2,868,203,Yes
191,Haryana,58,Postpaid,108.21,69.58,547,152,Yes
192,Uttar Pradesh,40,Prepaid,112.24,48.33,401,291,Yes
193,Gujarat,47,Postpaid,608.81,96.37,245,370,No
194,Bihar,57,Prepaid,1134.45,80.45,404,306,Yes
195,Kerala,33,Postpaid,1965.8,46.72,962,482,Yes
196,Rajasthan,18,Postpaid,481.05,10.42,809,12,No
197,Sikkim,23,Postpaid,310.59,62.73,71,462,No
198,Nagaland,67,Prepaid,794.73,4.33,630,259,No
199,Goa,26,Prepaid,1487.92,5.55,73,307,Yes
200,Chhattisgarh,18,Postpaid,707.02,81.1,169,91,No
201,Bihar,64,Postpaid,1459.8,64.74,122,276,No
202,West Bengal,21,Postpaid,299.96,22.82,205,332,Yes
203,Assam,43,Prepaid,429.05,35.74,639,486,No
204,Nagaland,70,Postpaid,762.15,38.61,99,489,Yes
205,Kerala,38,Prepaid,375.25,16.52,338,224,Yes
206,Sikkim,51,Prepaid,445.64,78.87,545,276,No
207,Jharkhand,66,Prepaid,709.58,8.09,958,54,Yes
208,Uttarakhand,27,Postpaid,1437.52,82.88,880,254,No
209,Telangana,27,Postpaid,797.59,36.9,493,37,Yes
210,Assam,54,Postpaid,1252.78,11,504,248,Yes
211,Rajasthan,35,Prepaid,527.19,54.49,567,279,Yes
212,Uttar Pradesh,58,Postpaid,1758.44,78.84,789,237,No
213,Arunachal Pradesh,25,Prepaid,74.47,50.6,343,477,No
214,Andhra Pradesh,25,Prepaid,1322.3,99.9,902,257,Yes
215,Telangana,19,Postpaid,756.88,90.83,890,352,No
216,Himachal Pradesh,36,Prepaid,1247.29,48.87,415,47,Yes
217,Arunachal Pradesh,42,Postpaid,1654.94,34.91,280,141,No
218,West Bengal,50,Prepaid,755.43,76.52,954,134,No
219,Arunachal Pradesh,39,Postpaid,797.09,48.58,274,276,Yes
220,West Bengal,30,Postpaid,1262.51,8.56,779,221,Yes
221,Himachal Pradesh,38,Postpaid,1878.03,66.78,443,403,Yes
222,Chhattisgarh,70,Postpaid,1758.22,21.11,944,338,Yes
223,Mizoram,54,Prepaid,1016.12,59.93,215,187,Yes
224,Haryana,19,Postpaid,1700.08,27.54,364,35,No
225,Maharashtra,47,Postpaid,495.84,17.4,327,85,No
226,Andhra Pradesh,55,Postpaid,1462.72,92.31,962,475,No
227,Meghalaya,60,Postpaid,455.96,9.76,256,348,Yes
228,Tamil Nadu,23,Prepaid,1087.08,38.46,850,79,No
229,Chhattisgarh,30,Prepaid,1259.98,63.1,426,419,No
230,Tripura,45,Postpaid,959.63,28.41,169,266,Yes
231,Gujarat,61,Postpaid,507.17,74.18,737,245,No
232,Mizoram,44,Postpaid,1533.88,88.67,269,433,Yes
233,Arunachal Pradesh,54,Postpaid,980.05,40.07,709,318,No
234,Kerala,37,Postpaid,203.1,77.28,690,405,Yes
235,Telangana,28,Prepaid,303.06,46.71,66,356,Yes
236,Mizoram,52,Prepaid,1096.54,95.01,592,477,No
237,Uttarakhand,34,Postpaid,1219.92,55.69,703,32,Yes
238,Jharkhand,38,Postpaid,940.47,14.26,977,310,No
239,Goa,52,Prepaid,1756.86,49.91,866,331,No
240,Bihar,66,Postpaid,655.8,34.67,977,432,No
241,Rajasthan,44,Prepaid,1206.41,48.61,527,351,No
242,Madhya Pradesh,33,Prepaid,1338.62,25.74,825,118,Yes
243,Uttarakhand,37,Postpaid,1311.31,61.49,525,122,Yes
244,Uttarakhand,56,Prepaid,1655.52,52.77,513,441,No
245,Karnataka,44,Prepaid,1992.8,5.59,220,383,No
246,Tamil Nadu,66,Postpaid,526.16,42.47,909,8,No
247,Haryana,31,Postpaid,1440.49,96.78,991,475,Yes
248,Himachal Pradesh,24,Postpaid,1250.99,31.92,361,39,No
249,Karnataka,30,Prepaid,590.95,74.01,338,379,Yes
250,Tamil Nadu,47,Prepaid,1841.64,45.32,148,224,No
251,Tamil Nadu,36,Prepaid,1996.18,7.99,819,437,Yes
252,Chhattisgarh,31,Prepaid,1232.33,75.6,297,80,Yes
253,Tripura,65,Prepaid,1581.58,66.08,532,314,Yes
254,Rajasthan,49,Postpaid,887.17,38.29,740,237,No
255,Sikkim,31,Prepaid,1146.11,83.55,604,358,Yes
256,Uttar Pradesh,26,Prepaid,1561.31,22.71,969,7,Yes
257,Andhra Pradesh,65,Prepaid,69.67,15.54,901,446,No
258,Haryana,38,Prepaid,522.79,44.41,769,473,Yes
259,Uttarakhand,47,Prepaid,1521.47,60.08,986,49,Yes
260,Andhra Pradesh,50,Postpaid,1993.6,87.2,758,420,No
261,Andhra Pradesh,65,Postpaid,1145.41,52.2,537,495,Yes
262,Maharashtra,57,Postpaid,1025.28,58.97,129,376,No
263,Maharashtra,28,Prepaid,1834.23,98.98,135,341,No
264,Punjab,58,Postpaid,245.77,27.51,564,17,No
265,Tamil Nadu,55,Prepaid,753.49,54.99,997,120,No
266,Andhra Pradesh,56,Postpaid,155.54,73.46,182,474,Yes
267,Sikkim,39,Prepaid,1996.41,46.57,298,242,No
268,Kerala,18,Prepaid,543.19,55.38,733,257,Yes
269,Sikkim,18,Postpaid,627.67,73.49,723,61,No
270,Haryana,18,Prepaid,361.02,15.41,919,276,Yes
271,Tripura,63,Prepaid,1356.4,80.93,240,361,No
272,Bihar,47,Prepaid,1988.48,22.71,550,334,No
273,Meghalaya,47,Postpaid,931.33,22.26,992,236,No
274,Andhra Pradesh,24,Postpaid,366.96,52.96,357,283,No
275,Odisha,33,Prepaid,316.38,20.21,817,85,No
276,West Bengal,44,Prepaid,935.59,79.52,233,305,Yes
277,Meghalaya,45,Postpaid,64.42,23.06,62,347,No
278,Sikkim,30,Postpaid,1941.99,64.42,82,455,Yes
279,Odisha,35,Postpaid,1138.79,72.95,531,143,No
280,Assam,18,Prepaid,1375.01,29.64,329,479,No
281,Telangana,37,Postpaid,1069.36,58.84,177,379,Yes
282,Jharkhand,21,Prepaid,419.94,21.36,278,376,Yes
283,Madhya Pradesh,63,Prepaid,1123.12,51.35,438,25,Yes
284,Telangana,38,Postpaid,1101.1,81.57,171,361,Yes
285,Punjab,44,Prepaid,845.81,23.25,95,368,No
286,Himachal Pradesh,29,Postpaid,77.13,17.93,128,64,No
287,Rajasthan,33,Prepaid,1212.73,39.11,901,394,Yes
288,Uttar Pradesh,49,Prepaid,1948.51,56.04,942,180,Yes
289,Telangana,26,Postpaid,934.05,45.52,731,7,No
290,Gujarat,19,Prepaid,1777.61,8.79,404,139,No
291,Andhra Pradesh,67,Prepaid,1946.3,53.41,651,475,No
292,Tamil Nadu,42,Postpaid,402.33,31.17,302,216,No
293,Arunachal Pradesh,35,Postpaid,1659.06,96.91,976,118,No
294,Tripura,61,Postpaid,274.88,38.54,285,364,Yes
295,Rajasthan,29,Prepaid,1528.38,83.55,270,249,Yes
296,Bihar,70,Prepaid,1258.87,12.14,548,365,Yes
297,Maharashtra,22,Prepaid,1980.92,63.29,507,459,No
298,Rajasthan,52,Prepaid,1610.15,83.28,809,471,Yes
299,Tamil Nadu,45,Postpaid,758.31,49.01,992,125,Yes
300,Punjab,30,Postpaid,570.34,93.96,703,199,No
301,Manipur,42,Prepaid,1472.54,78.85,634,249,No
302,Chhattisgarh,27,Prepaid,826.99,89.95,866,423,No
303,Tamil Nadu,57,Prepaid,630.11,71.36,239,448,Yes
304,Meghalaya,59,Postpaid,1832.48,20.14,151,491,No
305,Karnataka,58,Prepaid,365.85,77.69,825,373,Yes
306,Rajasthan,69,Prepaid,120.98,88.23,535,37,No
307,Jharkhand,26,Postpaid,1532.62,15.4,205,278,No
308,Kerala,39,Prepaid,1234.66,43.64,966,357,No
309,Sikkim,62,Postpaid,1752.68,87.25,305,58,No
310,Andhra Pradesh,35,Prepaid,430.46,52.46,679,141,No
311,Goa,38,Prepaid,266.09,23.58,392,390,No
312,Arunachal Pradesh,47,Postpaid,1745.37,44.54,766,223,No
313,Haryana,48,Prepaid,1724.41,4.32,594,119,Yes
314,Mizoram,46,Prepaid,569.34,75.89,683,385,No
315,Uttarakhand,36,Prepaid,764.01,89.31,601,251,No
316,Jharkhand,18,Prepaid,351.89,67.22,628,242,No
317,Sikkim,48,Postpaid,573.52,10.11,667,30,No
318,Punjab,62,Prepaid,1817.07,15.19,726,211,No
319,Jharkhand,61,Postpaid,1135.18,32.34,664,329,Yes
320,Jharkhand,24,Postpaid,525.24,93.37,190,39,No
321,Punjab,60,Postpaid,368.61,20.47,712,55,No
322,Maharashtra,47,Prepaid,1215.74,37.5,566,344,No
323,Kerala,36,Prepaid,1802.44,59.52,757,445,Yes
324,Rajasthan,67,Postpaid,1386.58,42.46,538,231,No
325,Mizoram,68,Postpaid,1827.92,37.09,961,331,No
326,Meghalaya,34,Prepaid,295.09,68.39,197,131,Yes
327,Bihar,64,Prepaid,564.04,87.42,779,216,Yes
328,Manipur,58,Prepaid,1024.91,12.17,267,420,Yes
329,Mizoram,60,Postpaid,495.65,5.37,519,36,No
330,Mizoram,70,Prepaid,296.88,85.15,867,163,Yes
331,Odisha,42,Postpaid,1420.58,38.31,95,113,No
332,Madhya Pradesh,25,Prepaid,1105.15,9.14,708,490,Yes
333,Chhattisgarh,33,Prepaid,820.58,15,515,307,No
334,West Bengal,45,Prepaid,1972.21,99.51,721,169,No
335,Karnataka,24,Prepaid,726.94,51.26,690,249,Yes
336,Haryana,37,Postpaid,1950.53,37.8,109,473,No
337,West Bengal,48,Prepaid,344.57,98.11,967,168,No
338,Punjab,50,Postpaid,1020.25,33.36,428,163,Yes
339,Uttar Pradesh,44,Prepaid,1095.35,93.81,400,374,Yes
340,Arunachal Pradesh,26,Postpaid,1226.6,33.56,407,242,No
341,Telangana,37,Prepaid,689.68,20.59,199,231,No
342,Mizoram,18,Postpaid,1929.02,64.75,819,481,Yes
343,Telangana,59,Postpaid,185.68,73.99,461,485,No
344,Nagaland,40,Postpaid,1714.49,87.29,232,433,Yes
345,West Bengal,70,Postpaid,139.3,14.08,556,200,No
346,Chhattisgarh,66,Prepaid,668.64,5.69,607,137,No
347,Telangana,25,Postpaid,1952.71,75.9,312,488,No
348,Mizoram,50,Postpaid,504.44,77.6,247,298,Yes
349,Telangana,35,Prepaid,1283.73,86.32,987,18,No
350,Manipur,27,Prepaid,839.76,11.06,134,266,No
351,West Bengal,68,Prepaid,1581.66,87.87,185,319,Yes
352,Rajasthan,25,Postpaid,1830.76,18.2,312,397,No
353,Jharkhand,35,Prepaid,149.99,22.16,824,167,No
354,Haryana,39,Prepaid,1766.28,57.13,912,171,Yes
355,Gujarat,36,Postpaid,885.42,42.86,678,239,Yes
356,Chhattisgarh,34,Postpaid,960.84,71.13,638,460,Yes
357,West Bengal,34,Postpaid,762.23,6.57,279,215,No
358,Bihar,29,Prepaid,1750.96,21.96,591,65,No
359,Bihar,61,Postpaid,856.27,88.34,476,190,No
360,Meghalaya,68,Prepaid,520.64,78.34,731,270,Yes
361,Rajasthan,56,Postpaid,1562.07,92.98,450,166,Yes
362,Uttar Pradesh,41,Prepaid,232.49,54.8,262,498,No
363,Arunachal Pradesh,30,Postpaid,748.88,98.34,907,282,Yes
364,Jharkhand,61,Postpaid,655.37,49.94,734,202,No
365,Andhra Pradesh,39,Prepaid,1286.22,37.83,952,9,Yes
366,Jharkhand,25,Prepaid,137.74,17.92,89,180,No
367,Tripura,47,Prepaid,1971.31,80.55,877,224,Yes
368,Odisha,23,Postpaid,870.18,96.1,419,406,No
369,Himachal Pradesh,21,Postpaid,83.24,6.42,409,134,No
370,Meghalaya,40,Prepaid,247.63,81.46,578,364,Yes
371,Assam,35,Postpaid,812.3,90.81,491,185,Yes
372,Arunachal Pradesh,24,Postpaid,489.49,6.84,855,20,No
373,Jharkhand,42,Prepaid,926.02,98.6,188,194,No
374,Madhya Pradesh,36,Prepaid,1047.8,63.02,377,31,No
375,Nagaland,65,Prepaid,945.41,45.6,594,480,No
376,Uttar Pradesh,54,Postpaid,183.06,55.19,67,257,Yes
377,Punjab,20,Postpaid,1072.44,18.28,744,281,No
378,Goa,54,Prepaid,972.45,34.95,383,231,No
379,Assam,33,Prepaid,1878.19,82.96,212,157,Yes
380,Mizoram,33,Postpaid,205.61,77.16,206,346,No
381,Odisha,52,Prepaid,1112.88,82.3,968,115,Yes
382,West Bengal,24,Postpaid,1298.07,34.21,235,406,No
383,Nagaland,31,Prepaid,1049.87,61.8,120,474,Yes
384,Uttarakhand,61,Prepaid,186.09,47.35,132,267,Yes
385,Mizoram,68,Postpaid,1329.17,50.16,283,138,Yes
386,Uttarakhand,57,Postpaid,396.6,61.53,328,194,Yes
387,Telangana,43,Postpaid,1205.35,89.65,345,389,Yes
388,Manipur,42,Postpaid,1991.33,68.17,298,161,Yes
389,Manipur,34,Postpaid,1611.82,12.87,929,105,No
390,Manipur,57,Postpaid,408.77,17.96,411,213,No
391,Sikkim,29,Prepaid,1422.93,8.12,494,198,Yes
392,Bihar,31,Postpaid,1576.22,47.31,396,146,No
393,Tripura,32,Postpaid,898.75,93.99,537,135,Yes
394,Goa,52,Postpaid,1215.99,48.93,841,496,Yes
395,Assam,24,Prepaid,1673.5,44.07,1000,84,No
396,Himachal Pradesh,65,Prepaid,1395.61,5.35,839,275,No
397,Haryana,51,Prepaid,1096.93,43.49,446,434,Yes
398,Sikkim,68,Prepaid,1597.62,71.15,531,92,No
399,Rajasthan,67,Prepaid,1683.78,53.43,867,476,Yes
400,Chhattisgarh,54,Prepaid,438.63,31.34,983,5,No
401,Odisha,35,Postpaid,1223.94,13.95,817,222,No
402,Manipur,55,Prepaid,550.98,77.77,614,318,No
403,Telangana,60,Postpaid,79.4,66.22,678,10,No
404,West Bengal,33,Postpaid,1935.41,61.31,936,185,No
405,Chhattisgarh,31,Prepaid,1103.3,53.83,278,253,No
406,Rajasthan,49,Postpaid,109.58,35.97,200,203,No
407,Andhra Pradesh,30,Postpaid,450.65,28.22,670,221,No
408,Mizoram,32,Prepaid,419.11,53.27,587,42,Yes
409,Assam,45,Prepaid,1486.7,70.19,879,398,Yes
410,Goa,59,Postpaid,691.67,68.18,336,266,Yes
411,Maharashtra,60,Prepaid,1720.36,91.46,325,363,Yes
412,Assam,54,Prepaid,237.88,44.81,405,393,No
413,Gujarat,19,Postpaid,715.27,78.05,350,236,Yes
414,Meghalaya,29,Postpaid,1600.85,85.6,494,97,No
415,Andhra Pradesh,67,Postpaid,480.57,11.68,707,108,No
416,Meghalaya,61,Prepaid,671.09,12.55,821,331,No
417,Chhattisgarh,59,Prepaid,1168.95,98.86,712,16,Yes
418,Bihar,53,Postpaid,1234.66,67.21,780,277,Yes
419,Odisha,65,Prepaid,693.03,61.75,768,234,No
420,Karnataka,30,Postpaid,1344.15,13.94,658,141,No
421,Himachal Pradesh,22,Prepaid,1111.37,39.13,654,402,Yes
422,Jharkhand,44,Postpaid,1218.69,86.43,798,116,No
423,Tripura,37,Prepaid,622.46,97.1,719,391,Yes
424,Maharashtra,61,Postpaid,1916.81,68.64,483,496,No
425,Arunachal Pradesh,68,Prepaid,1367.78,27.8,318,332,No
426,Karnataka,65,Prepaid,700.12,73.28,895,277,Yes
427,Assam,20,Postpaid,193.33,48.09,967,439,No
428,Mizoram,22,Postpaid,591.79,70.03,285,154,Yes
429,Maharashtra,35,Postpaid,1364.08,14.3,352,145,Yes
430,Kerala,65,Prepaid,621.58,95.61,575,432,No
431,Kerala,70,Postpaid,1052.87,25.76,449,396,No
432,Sikkim,68,Prepaid,1338.78,23.7,991,164,Yes
433,Arunachal Pradesh,43,Postpaid,1006.91,68.65,354,450,No
