UserId,EducationLevel,Occupation
YBI320,High School,Self Employeed
YBI321,High School,Self Employeed
YBI322,Graduate,Professional
YBI323,High School,Self Employeed
YBI324,High School,Self Employeed
YBI325,High School,Self Employeed
YBI326,High School,Self Employeed
YBI327,High School,Self Employeed
YBI328,High School,Office
YBI329,High School,Self Employeed
YBI330,High School,Self Employeed
YBI331,High School,Self Employeed
YBI332,High School,Self Employeed
YBI333,High School,Self Employeed
YBI334,High School,Self Employeed
YBI335,High School,Self Employeed
YBI336,High School,Self Employeed
YBI337,High School,Self Employeed
YBI338,High School,Self Employeed
YBI339,High School,Self Employeed
YBI340,High School,Self Employeed
YBI341,High School,Office
YBI342,High School,Self Employeed
YBI343,High School,Office
YBI344,High School,Self Employeed
YBI345,High School,Self Employeed
YBI346,High School,Self Employeed
YBI347,High School,Office
YBI348,High School,Office
YBI349,High School,Self Employeed
YBI350,High School,Self Employeed
YBI351,High School,Self Employeed
YBI352,High School,Self Employeed
YBI353,High School,Self Employeed
YBI354,Graduate,Management
YBI355,Graduate,Management
YBI356,Graduate,Management
YBI357,Graduate,Management
YBI358,Graduate,Management
YBI359,Graduate,Management
YBI360,High School,Self Employeed
YBI361,High School,Self Employeed
YBI362,High School,Self Employeed
YBI363,High School,Self Employeed
YBI364,High School,Self Employeed
YBI365,High School,Self Employeed
YBI366,High School,Self Employeed
YBI367,High School,Self Employeed
YBI368,High School,Self Employeed
YBI369,High School,Self Employeed
YBI370,High School,Self Employeed
YBI371,High School,Self Employeed
YBI372,High School,Self Employeed
YBI373,High School,Self Employeed
YBI374,High School,Self Employeed
YBI375,Graduate,Management
YBI376,Graduate,Management
YBI377,Graduate,Management
YBI378,Graduate,Management
YBI379,Graduate,Management
YBI380,Graduate,Management
YBI381,Graduate,Management
YBI382,Graduate,Management
YBI383,High School,Self Employeed
YBI384,Graduate,Management
YBI385,Graduate,Management
YBI386,Graduate,Management
YBI387,Graduate,Management
YBI388,Graduate,Management
YBI389,Graduate,Management
YBI390,Graduate,Management
YBI391,Graduate,Management
YBI392,Graduate,Management
YBI393,Graduate,Management
YBI394,Graduate,Management
YBI395,Graduate,Management
YBI396,Graduate,Management
YBI397,Graduate,Management
YBI398,Graduate,Management
YBI399,Graduate,Management
YBI400,Graduate,Management
YBI401,Graduate,Management
YBI402,Graduate,Management
YBI403,Graduate,Management
YBI404,Graduate,Management
YBI405,Graduate,Management
YBI406,Graduate,Management
YBI407,Graduate,Management
YBI408,Graduate,Management
YBI409,Graduate,Management
YBI410,High School,Professional
YBI411,High School,Professional
YBI412,High School,Professional
YBI413,High School,Professional
YBI414,Graduate,Management
YBI415,Graduate,Management
YBI416,High School,Professional
YBI417,High School,Professional
YBI418,High School,Professional
YBI419,High School,Professional
YBI420,High School,Professional
YBI421,High School,Self Employeed
YBI422,High School,Professional
YBI423,High School,Professional
YBI424,High School,Professional
YBI425,High School,Professional
YBI426,High School,Professional
YBI427,High School,Professional
YBI428,Graduate,Management
YBI429,High School,Professional
YBI430,High School,Professional
YBI431,High School,Professional
YBI432,High School,Professional
YBI433,High School,Professional
YBI434,High School,Professional
YBI435,High School,Professional
YBI436,High School,Professional
YBI437,High School,Professional
YBI438,High School,Professional
YBI439,High School,Professional
YBI440,High School,Professional
YBI441,High School,Professional
YBI442,Graduate,Management
YBI443,Graduate,Management
YBI444,High School,Professional
YBI445,High School,Professional
YBI446,High School,Professional
YBI447,High School,Professional
YBI448,High School,Professional
YBI449,Graduate,Management
YBI450,High School,Professional
YBI451,High School,Professional
YBI452,High School,Professional
YBI453,High School,Professional
YBI454,High School,Professional
YBI455,High School,Professional
YBI456,Graduate,Management
YBI457,Graduate,Management
YBI458,Graduate,Management
YBI459,Graduate,Management
YBI460,Graduate,Management
YBI461,Graduate,Management
YBI462,Graduate,Management
YBI463,High School,Professional
YBI464,Graduate,Management
YBI465,Graduate,Management
YBI466,Graduate,Management
YBI467,High School,Professional
YBI468,High School,Professional
YBI469,High School,Professional
YBI470,High School,Professional
YBI471,High School,Professional
YBI472,Graduate,Management
YBI473,Graduate,Management
YBI474,Graduate,Management
YBI475,Graduate,Management
YBI476,High School,Professional
YBI477,High School,Professional
YBI478,Graduate,Management
YBI479,Graduate,Management
YBI480,High School,Professional
YBI481,High School,Professional
YBI482,High School,Professional
YBI483,High School,Professional
YBI484,High School,Professional
YBI485,Graduate,Management
YBI486,High School,Professional
YBI487,Graduate,Management
YBI488,Graduate,Management
YBI489,High School,Professional
YBI490,Graduate,Management
YBI491,High School,Professional
YBI492,Graduate,Management
YBI493,Graduate,Management
YBI494,Graduate,Management
YBI495,Graduate,Management
YBI496,High School,Professional
YBI497,High School,Professional
YBI498,High School,Professional
YBI499,High School,Self Employeed
YBI500,Graduate,Management
YBI501,Graduate,Management
YBI502,Graduate,Management
YBI503,Graduate,Management
YBI504,High School,Professional
YBI505,High School,Professional
YBI506,High School,Professional
YBI507,High School,Professional
YBI508,High School,Professional
YBI509,High School,Professional
YBI510,High School,Professional
YBI511,High School,Self Employeed
YBI512,High School,Professional
YBI513,High School,Professional
YBI514,Graduate,Management
YBI515,Graduate,Management
YBI516,Graduate,Management
YBI517,Graduate,Management
YBI518,Graduate,Management
YBI519,Graduate,Management
YBI520,High School,Professional
YBI521,High School,Professional
YBI522,Graduate,Management
YBI523,Graduate,Management
YBI524,Graduate,Management
YBI525,Graduate,Management
YBI526,Graduate,Management
YBI527,Graduate,Management
YBI528,Graduate,Management
YBI529,Graduate,Management
YBI530,Graduate,Management
YBI531,Graduate,Management
YBI532,Graduate,Management
YBI533,Graduate,Management
YBI534,High School,Self Employeed
YBI535,Graduate,Factory
YBI536,Graduate,Office
YBI537,Graduate,Factory
YBI538,Graduate,Factory
YBI539,Graduate,Office
YBI540,Graduate,Factory
YBI541,Graduate,Office
YBI542,Graduate,Office
YBI543,Graduate,Office
YBI544,Graduate,Office
YBI545,Graduate,Office
YBI546,Graduate,Factory
YBI547,High School,Factory
YBI548,High School,Factory
YBI549,High School,Factory
YBI550,High School,Factory
YBI551,High School,Factory
YBI552,High School,Factory
YBI553,Graduate,Office
YBI554,Graduate,Office
YBI555,High School,Factory
YBI556,Graduate,Office
YBI557,High School,Factory
YBI558,Graduate,Office
YBI559,High School,Factory
YBI560,High School,Factory
YBI561,High School,Factory
YBI562,High School,Factory
YBI563,High School,Factory
YBI564,High School,Factory
YBI565,High School,Factory
YBI566,High School,Factory
YBI567,High School,Factory
YBI568,Graduate,Office
YBI569,Graduate,Office
YBI570,High School,Factory
YBI571,Graduate,Office
YBI572,Graduate,Office
YBI573,Graduate,Office
YBI574,Graduate,Office
YBI575,Graduate,Office
YBI576,Graduate,Office
YBI577,Graduate,Office
YBI578,Graduate,Office
YBI579,Graduate,Office
YBI580,High School,Factory
YBI581,High School,Factory
YBI582,High School,Factory
YBI583,High School,Factory
YBI584,High School,Factory
YBI585,Graduate,Office
YBI586,Graduate,Office
YBI587,Graduate,Office
YBI588,Graduate,Office
YBI589,High School,Factory
YBI590,High School,Factory
YBI591,High School,Factory
YBI592,High School,Factory
YBI593,High School,Factory
YBI594,High School,Factory
YBI595,Graduate,Office
YBI596,High School,Factory
YBI597,High School,Factory
YBI598,Graduate,Office
YBI599,Graduate,Office
YBI600,Graduate,Office
YBI601,Graduate,Office
YBI602,Graduate,Office
YBI603,Graduate,Office
YBI604,High School,Factory
YBI605,High School,Factory
YBI606,High School,Factory
YBI607,High School,Factory
YBI608,High School,Factory
YBI609,High School,Factory
YBI610,High School,Factory
YBI611,High School,Professional
YBI612,High School,Professional
YBI613,High School,Professional
YBI614,High School,Professional
YBI615,High School,Professional
YBI616,High School,Self Employeed
YBI617,High School,Professional
YBI618,High School,Professional
YBI619,Graduate,Management
YBI620,Graduate,Management
YBI621,Graduate,Management
YBI622,Graduate,Management
YBI623,High School,Professional
YBI624,High School,Professional
YBI625,High School,Professional
YBI626,Graduate,Management
YBI627,High School,Professional
YBI628,Graduate,Management
YBI629,High School,Professional
YBI630,High School,Professional
YBI631,High School,Professional
YBI632,High School,Professional
YBI633,High School,Professional
YBI634,High School,Professional
YBI635,High School,Management
YBI636,High School,Management
YBI637,High School,Management
YBI638,High School,Management
YBI639,High School,Management
YBI640,High School,Self Employeed
YBI641,High School,Self Employeed
YBI642,High School,Self Employeed
YBI643,Graduate,Professional
YBI644,Graduate,Professional
YBI645,Graduate,Professional
YBI646,Graduate,Professional
YBI647,Graduate,Professional
YBI648,Graduate,Professional
YBI649,Graduate,Professional
YBI650,High School,Management
YBI651,Graduate,Professional
YBI652,Graduate,Professional
YBI653,Graduate,Professional
YBI654,Graduate,Professional
YBI655,High School,Management
YBI656,High School,Professional
YBI657,Graduate,Professional
YBI658,High School,Management
YBI659,Graduate,Professional
YBI660,Graduate,Professional
YBI661,Graduate,Professional
YBI662,High School,Management
YBI663,High School,Management
YBI664,Graduate,Professional
YBI665,Graduate,Professional
YBI666,High School,Management
YBI667,Graduate,Management
YBI668,Graduate,Self Employeed
YBI669,High School,Factory
YBI670,High School,Factory
YBI671,High School,Office
YBI672,Graduate,Professional
YBI673,High School,Factory
YBI674,High School,Factory
YBI675,High School,Factory
YBI676,Graduate,Self Employeed
YBI677,High School,Factory
YBI678,High School,Factory
YBI679,Graduate,Self Employeed
YBI680,Graduate,Self Employeed
YBI681,Graduate,Self Employeed
YBI682,High School,Factory
YBI683,Graduate,Self Employeed
YBI684,High School,Office
YBI685,High School,Office
YBI686,High School,Factory
YBI687,High School,Factory
YBI688,High School,Factory
YBI689,High School,Factory
YBI690,High School,Factory
YBI691,High School,Factory
YBI692,High School,Factory
YBI693,High School,Office
YBI694,High School,Office
YBI695,High School,Office
YBI696,High School,Office
YBI697,High School,Office
YBI698,Graduate,Self Employeed
YBI699,High School,Office
YBI700,High School,Office
YBI701,Graduate,Self Employeed
YBI702,Graduate,Self Employeed
YBI703,Graduate,Self Employeed
YBI704,Graduate,Self Employeed
YBI705,Graduate,Self Employeed
YBI706,Graduate,Self Employeed
YBI707,Graduate,Self Employeed
YBI708,Graduate,Self Employeed
YBI709,Graduate,Self Employeed
YBI710,High School,Factory
YBI711,High School,Factory
YBI712,High School,Office
YBI713,High School,Office
YBI714,High School,Office
YBI715,High School,Office
YBI716,High School,Office
YBI717,High School,Office
YBI718,High School,Office
YBI719,Graduate,Self Employeed
YBI720,High School,Office
YBI721,High School,Office
YBI722,High School,Office
YBI723,High School,Office
YBI724,High School,Office
YBI725,High School,Office
YBI726,High School,Office
YBI727,High School,Office
YBI728,High School,Office
YBI729,High School,Office
YBI730,High School,Office
YBI731,Graduate,Self Employeed
YBI732,Graduate,Self Employeed
YBI733,Graduate,Self Employeed
YBI734,Graduate,Self Employeed
YBI735,Graduate,Self Employeed
YBI736,Graduate,Self Employeed
YBI737,Graduate,Self Employeed
YBI738,Graduate,Self Employeed
YBI739,High School,Factory
YBI740,High School,Factory
YBI741,Graduate,Office
YBI742,Graduate,Office
YBI743,Graduate,Office
YBI744,Graduate,Office
YBI745,Graduate,Office
YBI746,Graduate,Office
YBI747,High School,Factory
YBI748,High School,Factory
YBI749,High School,Factory
YBI750,High School,Factory
YBI751,Graduate,Office
YBI752,High School,Factory
YBI753,Graduate,Office
YBI754,Graduate,Office
YBI755,Graduate,Office
YBI756,Graduate,Office
YBI757,High School,Factory
YBI758,High School,Factory
YBI759,High School,Factory
YBI760,High School,Factory
YBI761,High School,Factory
YBI762,Graduate,Office
YBI763,Graduate,Office
YBI764,High School,Factory
YBI765,Graduate,Office
YBI766,Graduate,Self Employeed
YBI767,Graduate,Self Employeed
YBI768,Graduate,Self Employeed
YBI769,High School,Factory
YBI770,High School,Factory
YBI771,High School,Factory
YBI772,Graduate,Self Employeed
YBI773,Graduate,Self Employeed
YBI774,High School,Factory
YBI775,High School,Factory
YBI776,Graduate,Self Employeed
YBI777,Graduate,Professional
YBI778,High School,Office
YBI779,High School,Office
YBI780,Graduate,Self Employeed
YBI781,Graduate,Self Employeed
YBI782,Graduate,Self Employeed
YBI783,High School,Office
YBI784,High School,Office
YBI785,Graduate,Self Employeed
YBI786,High School,Office
YBI787,High School,Office
YBI788,High School,Factory
YBI789,High School,Factory
YBI790,High School,Factory
YBI791,High School,Factory
YBI792,Graduate,Self Employeed
YBI793,High School,Office
YBI794,High School,Office
YBI795,High School,Factory
YBI796,High School,Office
YBI797,High School,Office
YBI798,High School,Office
YBI799,High School,Office
YBI800,High School,Office
YBI801,High School,Factory
YBI802,High School,Factory
YBI803,High School,Factory
YBI804,High School,Factory
YBI805,High School,Office
YBI806,High School,Office
YBI807,High School,Factory
YBI808,High School,Factory
YBI809,High School,Office
YBI810,High School,Office
YBI811,Graduate,Self Employeed
YBI812,Graduate,Self Employeed
YBI813,Graduate,Self Employeed
YBI814,Graduate,Self Employeed
YBI815,Graduate,Self Employeed
YBI816,Graduate,Self Employeed
YBI817,Graduate,Self Employeed
YBI818,Graduate,Self Employeed
YBI819,Graduate,Self Employeed
YBI820,Graduate,Self Employeed
YBI821,Graduate,Self Employeed
YBI822,Graduate,Self Employeed
YBI823,Graduate,Self Employeed
YBI824,Graduate,Self Employeed
YBI825,High School,Self Employeed
YBI826,Graduate,Self Employeed
YBI827,Graduate,Self Employeed
YBI828,Graduate,Self Employeed
YBI829,Graduate,Self Employeed
YBI830,Graduate,Self Employeed
YBI831,Graduate,Professional
YBI832,Graduate,Professional
YBI833,Graduate,Professional
YBI834,Graduate,Professional
YBI835,Graduate,Self Employeed
YBI836,Graduate,Self Employeed
YBI837,Graduate,Self Employeed
YBI838,Graduate,Self Employeed
YBI839,Graduate,Self Employeed
YBI840,Graduate,Self Employeed
YBI841,Graduate,Self Employeed
YBI842,Graduate,Self Employeed
YBI843,Graduate,Professional
YBI844,Graduate,Professional
YBI845,Graduate,Professional
YBI846,Graduate,Professional
YBI847,Graduate,Professional
YBI848,Graduate,Professional
YBI849,Graduate,Professional
YBI850,Graduate,Professional
YBI851,Graduate,Professional
YBI852,Graduate,Professional
YBI853,Graduate,Professional
YBI854,Graduate,Professional
YBI855,Graduate,Professional
YBI856,Graduate,Professional
YBI857,Graduate,Professional
YBI858,Graduate,Professional
YBI859,Graduate,Professional
YBI860,Graduate,Professional
YBI861,Graduate,Professional
YBI862,Graduate,Self Employeed
YBI863,Graduate,Self Employeed
YBI864,Graduate,Self Employeed
YBI865,Graduate,Self Employeed
YBI866,Graduate,Self Employeed
YBI867,Graduate,Self Employeed
YBI868,Graduate,Self Employeed
YBI869,Graduate,Professional
YBI870,Graduate,Professional
YBI871,Graduate,Professional
YBI872,Graduate,Professional
YBI873,Graduate,Professional
YBI874,Graduate,Professional
YBI875,Graduate,Professional
YBI876,Graduate,Professional
YBI877,Graduate,Professional
YBI878,Graduate,Professional
YBI879,Graduate,Professional
YBI880,Graduate,Professional
YBI881,Graduate,Professional
YBI882,Graduate,Self Employeed
YBI883,Graduate,Self Employeed
YBI884,Graduate,Professional
YBI885,Graduate,Professional
YBI886,Graduate,Professional
YBI887,Graduate,Self Employeed
YBI888,Graduate,Self Employeed
YBI889,Graduate,Self Employeed
YBI890,Graduate,Self Employeed
YBI891,Graduate,Self Employeed
YBI892,Graduate,Self Employeed
YBI893,Graduate,Self Employeed
YBI894,Graduate,Professional
YBI895,Graduate,Professional
YBI896,Graduate,Professional
YBI897,Graduate,Professional
YBI898,Graduate,Professional
YBI899,Graduate,Professional
YBI900,Graduate,Professional
YBI901,Graduate,Professional
YBI902,Graduate,Professional
YBI903,High School,Self Employeed
YBI904,Graduate,Professional
YBI905,High School,Self Employeed
YBI906,High School,Self Employeed
YBI907,High School,Self Employeed
YBI908,High School,Self Employeed
YBI909,High School,Self Employeed
YBI910,High School,Self Employeed
YBI911,High School,Self Employeed
YBI912,High School,Self Employeed
YBI913,High School,Self Employeed
YBI914,High School,Self Employeed
YBI915,High School,Self Employeed
YBI916,High School,Self Employeed
YBI917,High School,Self Employeed
YBI918,High School,Self Employeed
YBI919,High School,Self Employeed
YBI920,Graduate,Professional
YBI921,High School,Self Employeed
YBI922,High School,Self Employeed
YBI923,High School,Self Employeed
YBI924,High School,Self Employeed
YBI925,High School,Self Employeed
YBI926,High School,Self Employeed
YBI927,High School,Self Employeed
YBI928,High School,Self Employeed
YBI929,High School,Self Employeed
YBI930,Graduate,Professional
YBI931,Graduate,Professional
YBI932,Graduate,Professional
YBI933,Graduate,Professional
YBI934,Graduate,Professional
YBI935,Graduate,Professional
YBI936,Graduate,Professional
YBI937,Graduate,Professional
YBI938,Graduate,Professional
YBI939,Graduate,Professional
YBI940,Graduate,Professional
YBI941,Graduate,Professional
YBI942,Graduate,Management
YBI943,Graduate,Professional
YBI944,Graduate,Management
YBI945,Graduate,Management
YBI946,Graduate,Management
YBI947,Graduate,Professional
YBI948,Graduate,Professional
YBI949,Graduate,Professional
YBI950,Graduate,Professional
YBI951,Graduate,Professional
YBI952,Graduate,Management
YBI953,Graduate,Professional
YBI954,Graduate,Professional
YBI955,Graduate,Professional
YBI956,Graduate,Management
YBI957,Graduate,Management
YBI958,Graduate,Professional
YBI959,Graduate,Professional
YBI960,Graduate,Professional
YBI961,Graduate,Professional
YBI962,Graduate,Self Employeed
YBI963,Graduate,Self Employeed
YBI964,Graduate,Self Employeed
YBI965,Graduate,Self Employeed
YBI966,Graduate,Self Employeed
YBI967,Graduate,Self Employeed
YBI968,Graduate,Self Employeed
YBI969,Graduate,Self Employeed
YBI970,Graduate,Self Employeed
YBI971,Graduate,Self Employeed
YBI972,Graduate,Self Employeed
YBI973,Graduate,Self Employeed
YBI974,Graduate,Self Employeed
YBI975,Graduate,Self Employeed
YBI976,Graduate,Self Employeed
YBI977,Graduate,Self Employeed
YBI978,Graduate,Self Employeed
YBI979,Graduate,Self Employeed
YBI980,Graduate,Self Employeed
YBI981,Graduate,Professional
YBI982,Graduate,Self Employeed
YBI983,Graduate,Self Employeed
YBI984,Graduate,Professional
YBI985,Graduate,Self Employeed
YBI986,Graduate,Self Employeed
YBI987,Graduate,Self Employeed
YBI988,Graduate,Self Employeed
YBI989,Graduate,Self Employeed
YBI990,Graduate,Self Employeed
YBI991,Graduate,Self Employeed
YBI992,Graduate,Self Employeed
YBI993,Graduate,Professional
YBI994,Graduate,Professional
YBI995,Graduate,Professional
YBI996,Graduate,Professional
YBI997,Graduate,Professional
YBI998,Graduate,Professional
YBI999,Graduate,Professional
YBI1000,Graduate,Professional
YBI1001,Graduate,Professional
YBI1002,Graduate,Self Employeed
YBI1003,Graduate,Professional
YBI1004,Graduate,Professional
YBI1005,Graduate,Professional
YBI1006,Graduate,Professional
YBI1007,Graduate,Professional
YBI1008,Graduate,Professional
YBI1009,Graduate,Professional
YBI1010,Graduate,Professional
YBI1011,Graduate,Professional
YBI1012,Graduate,Self Employeed
YBI1013,Graduate,Professional
YBI1014,Graduate,Professional
YBI1015,Graduate,Professional
YBI1016,Graduate,Professional
YBI1017,Graduate,Professional
YBI1018,Graduate,Professional
YBI1019,Graduate,Professional
YBI1020,Graduate,Professional
YBI1021,Graduate,Professional
YBI1022,Graduate,Professional
YBI1023,Graduate,Professional
YBI1024,Graduate,Professional
YBI1025,Graduate,Professional
YBI1026,Graduate,Self Employeed
YBI1027,Graduate,Self Employeed
YBI1028,Graduate,Self Employeed
YBI1029,Graduate,Self Employeed
YBI1030,Graduate,Self Employeed
YBI1031,Graduate,Self Employeed
YBI1032,Graduate,Professional
YBI1033,Graduate,Professional
YBI1034,Graduate,Professional
YBI1035,Graduate,Self Employeed
YBI1036,Graduate,Self Employeed
YBI1037,Graduate,Self Employeed
YBI1038,High School,Self Employeed
YBI1039,Graduate,Self Employeed
YBI1040,Graduate,Self Employeed
YBI1041,Graduate,Self Employeed
YBI1042,Graduate,Self Employeed
YBI1043,Graduate,Self Employeed
YBI1044,Graduate,Professional
YBI1045,Graduate,Professional
YBI1046,Graduate,Professional
YBI1047,Graduate,Professional
YBI1048,Graduate,Professional
YBI1049,Graduate,Professional
YBI1050,Graduate,Professional
YBI1051,High School,Self Employeed
YBI1052,High School,Self Employeed
YBI1053,High School,Self Employeed
YBI1054,High School,Self Employeed
YBI1055,High School,Self Employeed
YBI1056,High School,Self Employeed
YBI1057,High School,Self Employeed
YBI1058,High School,Self Employeed
YBI1059,High School,Self Employeed
YBI1060,High School,Self Employeed
YBI1061,High School,Self Employeed
YBI1062,High School,Self Employeed
YBI1063,High School,Self Employeed
YBI1064,Graduate,Professional
YBI1065,Graduate,Professional
YBI1066,Graduate,Professional
YBI1067,High School,Self Employeed
YBI1068,High School,Self Employeed
YBI1069,High School,Self Employeed
YBI1070,High School,Self Employeed
YBI1071,High School,Self Employeed
YBI1072,High School,Self Employeed
YBI1073,Graduate,Professional
YBI1074,Graduate,Professional
YBI1075,Graduate,Professional
YBI1076,Graduate,Professional
YBI1077,Graduate,Professional
YBI1078,Graduate,Professional
YBI1079,Graduate,Professional
YBI1080,Graduate,Professional
YBI1081,Graduate,Professional
YBI1082,Graduate,Professional
YBI1083,Graduate,Professional
YBI1084,Graduate,Management
YBI1085,Graduate,Management
YBI1086,Graduate,Management
YBI1087,Graduate,Management
YBI1088,Graduate,Management
YBI1089,Graduate,Professional
YBI1090,Graduate,Management
YBI1091,Graduate,Management
YBI1092,Graduate,Professional
YBI1093,Graduate,Professional
YBI1094,Graduate,Professional
YBI1095,Graduate,Management
YBI1096,Graduate,Management
YBI1097,Graduate,Management
YBI1098,Graduate,Management
YBI1099,Graduate,Management
YBI1100,Graduate,Management
YBI1101,Graduate,Management
YBI1102,Graduate,Management
YBI1103,Graduate,Management
YBI1104,Graduate,Professional
YBI1105,Graduate,Professional
YBI1106,Graduate,Professional
YBI1107,Graduate,Professional
YBI1108,Graduate,Professional
YBI1109,Graduate,Professional
YBI1110,Graduate,Professional
YBI1111,Graduate,Professional
YBI1112,Graduate,Professional
YBI1113,Graduate,Professional
YBI1114,High School,Self Employeed
YBI1115,High School,Self Employeed
YBI1116,High School,Self Employeed
YBI1117,High School,Self Employeed
YBI1118,High School,Self Employeed
YBI1119,High School,Self Employeed
YBI1120,High School,Office
YBI1121,High School,Self Employeed
YBI1122,High School,Self Employeed
YBI1123,High School,Self Employeed
YBI1124,High School,Office
YBI1125,High School,Office
YBI1126,High School,Self Employeed
YBI1127,High School,Self Employeed
YBI1128,High School,Self Employeed
YBI1129,High School,Self Employeed
YBI1130,High School,Self Employeed
YBI1131,Graduate,Management
YBI1132,High School,Self Employeed
YBI1133,High School,Office
YBI1134,High School,Office
YBI1135,High School,Office
YBI1136,High School,Self Employeed
YBI1137,High School,Self Employeed
YBI1138,High School,Self Employeed
YBI1139,High School,Self Employeed
YBI1140,High School,Self Employeed
YBI1141,High School,Self Employeed
YBI1142,High School,Self Employeed
YBI1143,High School,Self Employeed
YBI1144,High School,Self Employeed
YBI1145,High School,Self Employeed
YBI1146,High School,Self Employeed
YBI1147,High School,Self Employeed
YBI1148,High School,Self Employeed
YBI1149,High School,Professional
YBI1150,High School,Professional
YBI1151,High School,Professional
YBI1152,High School,Professional
YBI1153,High School,Professional
YBI1154,High School,Self Employeed
YBI1155,High School,Self Employeed
YBI1156,High School,Self Employeed
YBI1157,High School,Professional
YBI1158,Graduate,Management
YBI1159,Graduate,Management
YBI1160,Graduate,Management
YBI1161,Graduate,Management
YBI1162,High School,Professional
YBI1163,High School,Professional
YBI1164,High School,Professional
YBI1165,High School,Professional
YBI1166,Graduate,Management
YBI1167,Graduate,Management
YBI1168,Graduate,Management
YBI1169,High School,Self Employeed
YBI1170,High School,Professional
YBI1171,High School,Professional
YBI1172,High School,Professional
YBI1173,High School,Professional
YBI1174,Graduate,Management
YBI1175,Graduate,Management
YBI1176,Graduate,Professional
YBI1177,Graduate,Professional
YBI1178,High School,Self Employeed
YBI1179,High School,Self Employeed
YBI1180,High School,Self Employeed
YBI1181,Graduate,Professional
YBI1182,High School,Self Employeed
YBI1183,High School,Self Employeed
YBI1184,Graduate,Management
YBI1185,High School,Self Employeed
YBI1186,High School,Self Employeed
YBI1187,High School,Self Employeed
YBI1188,High School,Self Employeed
YBI1189,High School,Self Employeed
YBI1190,Graduate,Professional
YBI1191,Graduate,Professional
YBI1192,Graduate,Professional
YBI1193,Graduate,Professional
YBI1194,Graduate,Professional
YBI1195,High School,Self Employeed
YBI1196,High School,Self Employeed
YBI1197,High School,Self Employeed
YBI1198,High School,Self Employeed
YBI1199,High School,Self Employeed
YBI1200,High School,Self Employeed
YBI1201,High School,Office
YBI1202,High School,Self Employeed
YBI1203,High School,Office
YBI1204,High School,Self Employeed
YBI1205,High School,Self Employeed
YBI1206,High School,Self Employeed
YBI1207,High School,Self Employeed
YBI1208,High School,Self Employeed
YBI1209,High School,Self Employeed
YBI1210,High School,Self Employeed
