College,State,NAAC,Students,Course,Placement%,AvgSalaryLPA,Recruiters
"Joshi, Samra and Kaur College",Delhi,B,3917,MCA,31.44,4.11,TCS
Jhaveri-Mittal College,KA,C,2268,B.Sc,41.97,17.66,Wipro
Garde-Srinivasan College,Delhi,B,4700,B.Sc,63.77,4.37,TCS
"Gola, Ramachandran and Baria College",Delhi,A,4856,B.Sc,67.69,8.35,EY
Balakrishnan-Chanda College,UP,A,1400,MBA,63.23,3.11,Deloitte
"Shankar, Goyal and Mander College",TN,B,2410,MBA,43.33,10.76,Wipro
Parikh and Sons College,Delhi,C,539,MBA,48.41,11.94,TCS
Goel Ltd College,WB,C,2501,MCA,32.8,5.24,Accenture
Chaudhry Ltd College,MH,B,887,MCA,35.74,4.42,EY
Sathe PLC College,Delhi,C,1946,MBA,32.76,18.27,Accenture
Saha Group College,MH,A,2113,B.Tech,68.47,16.33,Wipro
Devi LLC College,KA,C,2112,B.Sc,80.49,10.88,Accenture
Nagy-Chaudhry College,KA,C,1783,MBA,94.12,6.75,Wipro
"Kunda, Dora and Bhasin College",UP,C,3131,MCA,99.88,8.08,TCS
"Mitra, Dugar and Patla College",WB,C,2822,MBA,79.23,10.06,Wipro
Venkatesh-Shanker College,UP,A,2396,MBA,77.71,7.37,Deloitte
Dara-Hans College,UP,C,3675,B.Sc,88.64,4.38,EY
Varma LLC College,UP,A,2816,MBA,87.45,12,Deloitte
Keer-Dhaliwal College,Delhi,A,3348,MCA,42.48,12.52,Accenture
Singh-Bala College,MH,C,2443,MCA,75.7,4.65,Infosys
Kalita LLC College,TN,A,3443,MBA,86.73,19.14,EY
Brahmbhatt Group College,UP,A,3064,B.Tech,55.76,17.68,TCS
"Dasgupta, Sant and Balan College",Delhi,A,1112,B.Tech,89.18,19.46,Accenture
"Sampath, Mitter and Raju College",KA,A,2099,B.Tech,69.92,5.53,TCS
"Muni, Muni and Som College",KA,C,1681,MCA,39.56,7.95,Infosys
Raja-Sarkar College,Delhi,A,3981,MBA,91.58,16.77,EY
Deshpande-Nagi College,WB,C,3480,MCA,30.36,9.92,Wipro
Prabhakar-Mitra College,WB,A,4174,B.Tech,67.64,17,Deloitte
Hegde-Ahuja College,KA,C,3435,MCA,34.32,12.94,Wipro
"Batra, Bala and Bhatia College",KA,B,3497,MCA,97.27,17.41,Deloitte
"Deep, Shah and Kant College",Delhi,C,2307,B.Sc,55.7,17.53,Wipro
"Halder, Menon and Sridhar College",MH,B,2401,MCA,52.81,13.32,Infosys
Khare-Biswas College,KA,C,3980,MCA,43.63,9.88,TCS
"Kalita, Devi and Tella College",TN,A,1448,MCA,62.29,10.83,Infosys
"Bir, Brahmbhatt and Chokshi College",UP,B,2341,B.Tech,88.91,15.76,Deloitte
Ganesan Ltd College,Delhi,B,4050,B.Sc,32.65,6.69,TCS
Sama-Kaul College,UP,A,650,MCA,55.95,11.55,Wipro
"Ramanathan, Pai and Lalla College",KA,C,1794,B.Sc,96.73,4.7,Wipro
Brar-Thaker College,KA,C,2096,B.Tech,97.71,17.21,Deloitte
Viswanathan PLC College,UP,C,4280,MBA,48.3,14.08,Deloitte
Varkey and Sons College,Delhi,A,2687,MCA,92.36,15.41,Wipro
"Swamy, Sarna and Chahal College",Delhi,C,3112,B.Tech,62.28,7.85,Accenture
Shah Ltd College,Delhi,C,1752,MBA,99.17,12.03,Wipro
Dani-Khatri College,Delhi,A,3000,MCA,93.35,14.46,TCS
Aurora PLC College,MH,C,815,B.Sc,94.93,12.96,Wipro
Pau-Seth College,WB,C,2905,B.Tech,89.75,9.49,Accenture
"Sharma, Kulkarni and Venkataraman College",Delhi,B,3322,MCA,69.15,5.31,Accenture
"Andra, Mander and Maharaj College",KA,C,2786,B.Tech,80.8,10.76,EY
Devi-Narayan College,UP,A,3796,B.Tech,80.68,9.24,Accenture
"Borde, De and Varma College",KA,C,1333,B.Tech,83.44,14.21,Deloitte
"Bali, Banik and Upadhyay College",WB,A,631,B.Tech,56.5,17.7,Infosys
"Jha, Kata and Nath College",UP,B,929,MBA,45.68,7.62,Wipro
Kant Inc College,TN,B,2395,B.Tech,71.89,8.66,EY
Mahajan-Tella College,Delhi,B,899,MCA,92.87,3.92,Infosys
"Raman, Wagle and Baral College",MH,C,3658,B.Tech,51.77,10.11,Deloitte
"Nayar, Misra and Talwar College",WB,B,4888,B.Sc,90.14,14.91,Wipro
Badami-Samra College,KA,A,3751,MCA,83.04,12.69,Accenture
Murty-Karan College,KA,B,3987,MBA,76.31,17.97,Wipro
Basu-Narula College,UP,A,1360,B.Tech,76.32,7.79,TCS
"Saxena, Nadkarni and Varghese College",UP,A,2678,B.Tech,46.12,4.75,Accenture
"Sibal, Lad and Sengupta College",KA,A,1127,B.Sc,96.45,9.47,EY
Mammen PLC College,Delhi,B,1281,B.Tech,77.24,11.76,Deloitte
"Dua, Jain and Rajagopal College",WB,B,1031,B.Tech,44.34,18.02,Deloitte
Shah-Mangat College,MH,B,1165,MCA,93.03,5.72,TCS
Bahri PLC College,UP,C,4108,MBA,85.06,11.74,Wipro
"Dugar, Nagi and Lanka College",WB,B,743,B.Sc,77.66,11.41,TCS
Sani-Singh College,KA,B,2106,B.Tech,55.98,16.98,Accenture
"Chada, Atwal and Samra College",TN,A,3916,B.Sc,73.11,18.58,Wipro
"Batra, Keer and Chhabra College",Delhi,A,3773,B.Tech,90.26,11.42,Wipro
Toor PLC College,MH,C,2649,B.Sc,87.91,5.73,Infosys
"Sarin, Sarma and Sangha College",Delhi,C,3916,B.Tech,45.52,16.68,Deloitte
"Borra, Babu and Naidu College",UP,A,2250,B.Sc,74.51,17.31,TCS
Gole-Borah College,KA,A,4277,MBA,92.48,7.97,EY
Balasubramanian-Ahuja College,Delhi,A,1741,MCA,74.68,4.67,Infosys
"Butala, Arya and Arya College",KA,C,2549,B.Tech,88.29,18.74,Wipro
Bhatti Inc College,KA,A,4192,MBA,76.61,6.52,Accenture
Grewal Inc College,MH,A,2525,B.Tech,80.88,6.08,Infosys
"Sangha, Natarajan and Badal College",UP,B,4611,MCA,95.65,11.88,Wipro
Sidhu-Pillay College,MH,C,913,B.Tech,74.09,3.94,Infosys
"Pradhan, Kothari and Sidhu College",TN,B,4824,B.Sc,67.61,19.67,Accenture
Virk PLC College,Delhi,B,2773,B.Sc,51.51,10.5,Infosys
Bhalla-Mutti College,TN,B,3057,B.Tech,39.42,7.46,EY
Basu LLC College,TN,B,3573,MBA,69.2,6.74,TCS
Kuruvilla-Kulkarni College,UP,A,3812,MBA,45.83,16.88,TCS
Kadakia and Sons College,KA,C,3845,MCA,84.88,12.07,TCS
"Natt, Grover and Narain College",MH,B,2598,MCA,35.46,15.05,EY
"Sule, Yohannan and Sastry College",KA,A,4092,B.Sc,49.22,14.44,EY
Tandon-Zachariah College,Delhi,B,1799,MCA,76.68,18.01,Deloitte
Saran-Dutta College,MH,B,2522,B.Tech,34.86,16.84,TCS
"Bhatnagar, Pall and Singh College",Delhi,B,1945,MBA,68.2,14.72,Accenture
"Dyal, Madan and Koshy College",MH,C,2659,B.Sc,56.24,11.67,Infosys
"Chowdhury, Grewal and Chada College",Delhi,B,1348,MCA,52.97,11.18,TCS
Keer-Ramaswamy College,KA,A,2610,B.Sc,47.61,17.37,EY
Loyal-Balasubramanian College,TN,B,999,B.Tech,57.24,9.03,Accenture
"Kurian, Chaudhry and Shetty College",WB,C,1863,B.Tech,35.63,4.22,Deloitte
Oommen LLC College,WB,B,2930,B.Tech,61.9,11.74,Deloitte
"Bumb, Gara and Sunder College",WB,A,1763,MCA,74.91,7.22,Deloitte
Palan-Dutt College,TN,A,4151,MCA,52.4,8.65,Deloitte
Lad-Srinivasan College,TN,C,3814,B.Sc,58.58,16.42,Infosys
"Halder, Padmanabhan and Thakkar College",MH,C,4630,B.Sc,92.84,9.36,Accenture
Rajan Group College,WB,C,1255,B.Sc,41.9,17.34,Accenture
Kapoor Group College,TN,A,3004,B.Tech,96.03,9.97,Infosys
"Sachdev, Nagarajan and Mani College",UP,A,1437,B.Tech,67.16,18.34,Deloitte
Nagy Group College,MH,A,4868,B.Sc,43.37,11.32,EY
Mukherjee-Sodhi College,MH,B,1418,MCA,61.49,8.44,Accenture
Krishna Ltd College,WB,C,1894,B.Tech,46.36,7.7,Deloitte
Gandhi and Sons College,WB,B,1141,MBA,74.73,17.88,Accenture
Pradhan PLC College,TN,C,4317,MCA,75.02,18.34,Wipro
"Jayaraman, Bahl and Bhatt College",UP,A,3187,B.Sc,70.58,19.56,Deloitte
Tak PLC College,MH,B,823,MBA,89.85,11.19,Deloitte
Choudhury Inc College,UP,A,2061,MBA,91.26,16.01,Deloitte
Bora-Uppal College,Delhi,C,1253,B.Sc,93.55,11.88,Infosys
"Srinivas, Chandran and Goel College",Delhi,A,3256,B.Tech,48.1,7.78,TCS
Dayal Ltd College,KA,C,523,MBA,81.73,13.12,Deloitte
"Dugar, Dass and Wali College",TN,A,618,MBA,62.22,8.18,TCS
Chhabra-Khare College,Delhi,B,767,B.Sc,48.45,6.11,Deloitte
"Bumb, Mutti and Loyal College",KA,C,3791,MBA,62.89,13,Deloitte
Das-Agrawal College,Delhi,C,4090,B.Tech,68.94,6.49,Deloitte
"Sekhon, Sachar and Ram College",TN,C,3261,B.Tech,78.32,19.1,Deloitte
Bhasin-Dugar College,WB,B,3022,MCA,31.46,13.77,Deloitte
Loyal LLC College,Delhi,B,3733,B.Sc,72.86,18.2,Infosys
Rao-Parikh College,TN,A,3923,B.Sc,53.39,13.75,Deloitte
"Doshi, Goda and Bhakta College",Delhi,C,2474,MCA,61,6.9,TCS
Iyengar-Chaudhari College,WB,A,2496,MBA,84.43,3.56,Wipro
Chhabra-Mand College,WB,B,4890,MCA,65.68,19.05,Accenture
Kurian Inc College,WB,A,1725,B.Tech,44.93,11.65,Wipro
"Goswami, Wable and Shenoy College",Delhi,B,3320,MBA,55.21,6.27,Accenture
"Mittal, Dixit and Seshadri College",MH,C,3789,MBA,54.89,6.52,TCS
Keer Inc College,KA,C,4445,B.Sc,35.42,17.95,Deloitte
"Mohanty, Bala and Nadkarni College",TN,A,622,B.Sc,42.61,3.34,Accenture
Golla PLC College,Delhi,A,4013,B.Tech,93.07,16.47,TCS
"Oak, Trivedi and Kari College",KA,B,1635,B.Tech,34.2,5.16,Deloitte
Tank-Seth College,MH,A,2526,MCA,60.36,13.67,Accenture
"Jani, Ganguly and Pai College",Delhi,C,2305,MBA,67.51,4.35,TCS
Virk-Kar College,KA,C,2295,B.Sc,78.93,18.18,Wipro
Tripathi-Balan College,TN,A,3892,B.Tech,39.73,12.41,Deloitte
Dasgupta-Guha College,MH,A,4134,B.Tech,87.95,14.67,EY
Venkatesh Ltd College,WB,C,3212,MBA,48.45,9.07,Accenture
Sharaf PLC College,UP,B,3709,B.Tech,56.3,18.92,EY
"Kaul, Krish and Sarkar College",Delhi,A,1274,B.Tech,96.59,3.48,Deloitte
Patil and Sons College,KA,C,4096,B.Sc,55.77,15.63,Accenture
Doctor-Yogi College,WB,C,3843,B.Sc,70.69,6.66,TCS
Doshi PLC College,KA,C,2795,MCA,88.89,9.16,TCS
Kant-Bhattacharyya College,MH,C,2385,B.Tech,33.41,16.55,Deloitte
Roy-Sarkar College,TN,C,2794,B.Sc,87.7,15.99,Accenture
Rastogi Inc College,KA,B,3512,B.Sc,65.19,3.4,Accenture
Balay and Sons College,TN,A,4838,MCA,89.04,11.58,Wipro
"Mallick, Singh and Dada College",TN,A,3835,B.Sc,55.8,18.34,EY
Kota Group College,MH,B,1277,B.Sc,54.91,15.23,TCS
"Manne, Chad and Uppal College",WB,B,2143,MBA,76.53,6.02,Infosys
Naidu-Bajwa College,TN,A,2887,B.Sc,64.59,17.74,Accenture
"Sha, Lad and Sanghvi College",WB,B,1108,MBA,92.18,6.26,EY
Borah-Tandon College,UP,B,1707,B.Sc,82.86,18.84,Wipro
"Bhatia, Parikh and Wali College",KA,A,1129,MCA,77.43,9.67,TCS
"Prabhakar, Chana and Konda College",Delhi,B,3534,MCA,87.6,9.07,Wipro
"Agarwal, Bir and Baral College",KA,A,4235,MBA,41.55,12.03,Wipro
"Krishnamurthy, Agarwal and Goda College",MH,B,1353,B.Tech,33.36,16.88,Wipro
"Bhandari, Memon and Shah College",MH,C,2493,B.Sc,72.27,3.82,EY
Solanki-Sane College,UP,C,1895,B.Sc,65.74,14.7,Infosys
"Anand, Ganesh and Murthy College",Delhi,A,4653,B.Sc,66.83,19.52,Infosys
Nagar PLC College,MH,C,1837,MBA,85.97,18.49,EY
"Nazareth, Choudhury and Lala College",WB,A,1475,B.Sc,93.42,13.93,Accenture
"Desai, Gade and Baria College",MH,C,2207,MCA,96.11,9.79,Accenture
Rege-Sarraf College,KA,B,3542,MCA,41.42,11.18,Infosys
"Issac, Garde and Raju College",Delhi,B,922,MCA,47.4,12.08,TCS
"Varma, Pandit and Divan College",KA,C,4872,B.Sc,67.91,12.14,EY
"Panchal, Tiwari and Bansal College",MH,A,1714,B.Sc,60.72,12.67,Accenture
Upadhyay and Sons College,TN,C,772,MCA,36.95,19.33,Infosys
Basu and Sons College,WB,C,4398,MCA,76.39,10.44,EY
"Char, Ranganathan and Chacko College",UP,C,3583,MCA,46.06,14.88,TCS
Chhabra-Soman College,WB,A,1680,MBA,45.3,12.09,EY
"Basu, Mahal and Mutti College",UP,B,1696,B.Sc,82.34,17.65,Infosys
Minhas-Nair College,MH,A,3613,MBA,59.74,6.69,TCS
"Chopra, Bhatia and Tandon College",UP,C,3738,B.Tech,68.98,16.33,Accenture
Bali-Andra College,TN,C,4684,MCA,74.12,7.76,EY
"Nazareth, Varghese and Karnik College",MH,C,3329,MCA,38.94,4.86,Wipro
"Sami, Upadhyay and Mitter College",MH,C,3188,MBA,81.32,7.2,TCS
"Tiwari, Bobal and Nigam College",WB,C,3100,B.Tech,78.37,15.74,Deloitte
"Menon, Joshi and Baral College",UP,A,2813,MCA,46.49,12.81,TCS
"Khosla, Bail and Mannan College",TN,B,4376,MBA,54.3,7.13,Deloitte
Chacko Inc College,TN,A,4281,MCA,51.02,4.52,Accenture
"Patla, Narayan and Sahota College",Delhi,B,3828,B.Tech,85.22,10.52,Wipro
Nadkarni Ltd College,KA,B,820,MCA,49.55,13.05,Deloitte
Kari Inc College,MH,C,1235,B.Tech,37.53,4.41,Deloitte
"Singh, Banerjee and Solanki College",MH,A,2166,B.Sc,32.21,9.45,TCS
Kibe-Sura College,WB,C,1220,MCA,70.34,12.22,TCS
Bhat-Minhas College,KA,B,4171,MBA,92.64,4.27,Accenture
Ramanathan-Minhas College,TN,A,1632,B.Tech,92.9,9.32,Accenture
"Dutt, Ahuja and Mitra College",Delhi,A,1564,MCA,39.04,11.03,Accenture
Iyer-Murthy College,KA,A,2360,B.Sc,54.01,19.36,Deloitte
Brar Group College,KA,C,4229,MCA,45.12,16.99,EY
Puri LLC College,KA,A,4125,B.Sc,57.67,16.66,TCS
Uppal Inc College,TN,B,3777,B.Sc,58.22,6.91,Accenture
Anne LLC College,Delhi,C,702,B.Sc,49.59,14.66,Accenture
More PLC College,MH,B,3732,MCA,82.84,15.45,Accenture
Kumar Ltd College,Delhi,C,1663,MCA,37.13,5.15,EY
Nath-Dora College,KA,A,3140,B.Sc,96.25,19.34,Accenture
