CustID,Age,Gender,City,AccountType,Balance,LoanAmt,EMI,Default
33,54,M,Tiruppur,Loan,483500.29,460867.05,20978.9,Yes
34,42,M,Udupi,Savings,206140.29,420900.42,29085.32,No
35,65,M,Giridih,Current,157829.85,499168.85,23412.84,Yes
36,46,F,Karawal Nagar,Loan,166628.47,411893.38,26649.52,No
37,30,M,Tumkur,Savings,56207.61,995431.34,5240.41,Yes
38,21,F,Bardhaman,Savings,467728.01,335642.91,29136.24,No
39,20,M,Ahmedabad,Current,100986.97,391881.89,26754.99,Yes
40,35,M,Singrauli,Current,330272.83,531744.38,10497.55,Yes
41,61,F,Bahraich,Current,360759.07,429724.74,5984.58,No
42,22,F,Anand,Current,150810.39,750878.07,18293.06,Yes
43,48,F,Gandhidham,Savings,174684.13,875718.25,8748.82,No
44,63,M,Surat,Loan,283563.97,60426.95,4353.87,Yes
45,41,F,Phagwara,Current,42594.25,683378.75,38415.38,No
46,60,F,Tirunelveli,Loan,280495.15,297484.37,18029.59,Yes
47,60,M,Shimoga,Current,294092.3,319785.17,18396.34,No
48,39,F,Kulti,Loan,490580.04,841679.91,42577.89,Yes
49,38,M,Rewa,Savings,245680.9,825850.95,44190.07,Yes
50,34,F,Saharsa,Savings,87500.06,713695.36,6204.22,No
51,46,M,Rohtak,Current,252238.49,95277.36,1237.52,Yes
52,23,F,Uluberia,Current,128147.65,965059.59,25972.89,Yes
53,19,F,Kharagpur,Loan,159499.59,318433.58,44613.75,No
54,44,F,Kolkata,Savings,289963.21,835512.86,29497.71,No
55,22,M,Anand,Loan,169603.59,1707.18,15371.53,No
56,50,M,Bharatpur,Loan,455288.26,867033.11,25903.01,Yes
57,38,M,Kurnool,Loan,47887.96,893710.2,22458.1,Yes
58,59,F,Kota,Loan,34710.5,511805.34,23967.8,No
59,19,M,Kurnool,Loan,498272.78,708112.09,14355.39,No
60,25,F,Belgaum,Savings,478403.25,364389.86,8495.23,No
61,46,F,Darbhanga,Current,31080.61,279985.3,49049.16,No
62,28,F,Sasaram,Savings,412603.92,498927.21,13202.59,Yes
63,26,M,Solapur,Loan,325703.65,891842.52,46848.76,Yes
64,45,M,Solapur,Savings,126201.61,339826.89,15097.18,Yes
65,27,F,Mehsana,Current,374461.54,336914.75,49231.35,Yes
66,54,M,Motihari,Loan,332856.66,755609.7,5667.09,No
67,54,M,Rewa,Savings,76280.01,939620.28,16240.51,Yes
68,24,F,Nagpur,Savings,102558.89,49396.53,22568.62,Yes
69,33,M,Pali,Current,472673.68,622365.92,41016.05,No
70,57,F,Kottayam,Savings,78816.21,584528.66,34828.46,No
71,57,M,Kumbakonam,Savings,106197.81,130041.42,41044.71,Yes
72,39,M,Munger,Current,275677.86,816560.68,21891.82,No
73,33,M,Chennai,Savings,302576.36,544684.88,40938.37,Yes
74,34,F,Mahbubnagar,Savings,33821.67,237334.38,8288.53,Yes
75,55,M,Ratlam,Savings,381783.58,850733.05,6257.78,Yes
76,37,F,Bulandshahr,Loan,416554.37,108326.79,21586.9,Yes
77,52,M,Rourkela,Loan,420055.93,166524.5,28480.53,No
78,50,F,Vellore,Loan,101706.78,370273.58,22370.4,Yes
79,45,F,Durgapur,Loan,220985.46,637608.29,13083.89,Yes
80,22,F,Kanpur,Savings,341829.44,108723.83,47910.5,No
81,40,F,Faridabad,Savings,452770.34,417694.09,2392.14,No
82,56,F,Saharanpur,Loan,292171.71,789160.37,32226.69,Yes
83,50,F,Jehanabad,Loan,69754.47,924098.05,32434.35,Yes
84,41,M,Naihati,Current,253453.25,902851.59,43782.22,Yes
85,22,F,Bhagalpur,Savings,102719.26,207886.2,20296.71,Yes
86,50,F,Morena,Current,259226.45,793027.35,41565.84,Yes
87,34,M,Nellore,Loan,18236.47,603734.62,14859.51,No
88,48,M,Raichur,Loan,84786.47,57723.47,877.42,Yes
89,22,M,Hubli–Dharwad,Savings,302809.18,961824.04,44191.84,No
90,52,M,Bhimavaram,Savings,434361.59,674424.71,9778.85,No
91,65,F,Mangalore,Loan,202654.66,693384.92,40680.74,Yes
92,59,M,Ambala,Loan,350141.57,645775.0,35305.72,No
93,65,M,Srinagar,Savings,68356.09,445084.96,45493.61,No
94,43,F,South Dumdum,Current,134633.63,967328.64,46346.83,Yes
95,28,M,Dehri,Loan,247758.92,408272.38,6065.07,Yes
96,49,F,Phagwara,Current,32809.5,712467.42,32957.89,Yes
97,18,M,Dhule,Current,472536.8,698566.2,33360.34,Yes
98,49,F,Bhiwani,Savings,402583.83,348755.42,49096.93,No
99,45,F,Pudukkottai,Loan,379576.07,459542.68,4210.7,No
100,50,F,Hazaribagh,Savings,68205.22,128583.46,4914.5,No
101,35,M,Madurai,Savings,80971.79,323402.22,41626.85,No
102,61,F,Cuttack,Loan,64591.57,322996.3,37380.16,Yes
103,48,F,Kavali,Loan,89446.45,241588.45,22844.92,Yes
104,26,M,Thoothukudi,Current,402038.35,913776.87,48330.05,Yes
105,27,F,Eluru,Savings,282135.85,409772.92,25231.14,No
106,43,F,Amroha,Current,418821.19,657565.23,23898.76,Yes
107,43,M,Kurnool,Savings,7491.63,541308.8,46715.4,No
108,24,F,Nellore,Current,370947.59,173668.43,45472.69,Yes
109,62,M,Parbhani,Loan,238845.36,813229.06,18618.2,No
110,54,M,Mathura,Loan,43349.7,945391.08,44741.76,Yes
111,32,M,Panihati,Savings,199951.75,356984.11,4864.98,No
112,29,M,Mirzapur,Loan,190907.94,413579.83,10055.08,Yes
113,53,M,Panipat,Loan,36020.69,674549.55,27841.82,No
114,65,M,Aligarh,Current,256003.8,203176.06,3365.46,Yes
115,32,F,Hubli–Dharwad,Loan,266239.9,124981.44,1777.8,No
116,52,F,Bardhaman,Loan,235334.76,267160.56,45242.97,Yes
117,36,F,Saharsa,Current,248754.27,795893.19,45962.36,No
118,65,F,Secunderabad,Loan,173436.96,241036.67,49234.96,No
119,40,F,Bellary,Savings,263136.32,951571.31,2112.87,No
120,35,F,Pune,Loan,305491.41,175748.5,7786.31,No
121,61,M,Loni,Current,52553.38,958225.58,19740.77,No
122,52,F,Meerut,Savings,220694.23,259484.2,38175.92,No
123,35,F,Jamnagar,Loan,110601.17,834122.71,22475.63,Yes
124,35,F,Gangtok,Savings,214507.12,37690.68,12371.4,Yes
125,18,F,Gwalior,Loan,37029.56,38320.06,21309.09,Yes
126,64,F,Bhubaneswar,Current,401445.14,775249.15,39149.56,No
127,57,F,Kirari Suleman Nagar,Savings,238508.33,800489.89,47173.23,No
128,20,M,Lucknow,Loan,347728.55,974758.04,9581.36,Yes
129,64,M,Solapur,Savings,93678.33,206203.31,37811.11,Yes
130,23,F,Rajkot,Current,11749.38,850506.76,678.6,No
131,43,F,Narasaraopet,Loan,442926.52,973157.89,30201.56,No
132,34,M,Jalna,Savings,47239.96,53035.72,45928.18,Yes
133,63,M,Tiruchirappalli,Savings,313076.29,931212.83,46710.94,No
134,31,F,Moradabad,Loan,120752.72,887657.45,13576.18,Yes
135,56,F,Sambhal,Loan,284525.73,586143.75,42017.02,Yes
136,57,F,Dhule,Savings,400190.08,352269.7,17182.94,No
137,60,F,Guntakal,Savings,94895.48,195739.09,38742.96,No
138,50,M,Kanpur,Savings,76299.7,592314.23,32673.38,No
139,45,F,Akola,Savings,343713.24,803915.5,42722.41,Yes
140,33,F,Thane,Current,23449.23,15163.73,4120.26,No
141,55,M,Dibrugarh,Loan,103384.89,974656.53,46545.71,No
142,56,M,Farrukhabad,Loan,327472.81,241447.5,20940.64,Yes
143,45,M,Bally,Loan,68158.39,9085.47,44108.91,No
144,56,M,Amaravati,Current,27145.82,237277.38,2414.05,Yes
145,57,F,Katni,Loan,341147.91,569453.25,2628.97,No
146,24,F,Bhalswa Jahangir Pur,Savings,154848.06,697964.63,35664.29,Yes
147,37,M,Ambarnath,Savings,381351.91,695770.59,9956.01,Yes
148,40,F,Bhopal,Loan,390262.37,9554.47,18502.32,No
149,24,F,Karaikudi,Loan,182090.08,304436.02,33368.22,Yes
150,35,F,Arrah,Savings,31539.88,243839.87,22717.94,No
151,18,M,Gudivada,Savings,240839.56,16703.31,36330.83,Yes
152,51,F,Delhi,Current,390286.22,345601.16,38457.77,No
153,49,F,Moradabad,Savings,460049.52,457333.06,4528.27,No
154,18,M,Rampur,Current,64030.84,624745.4,2048.14,No
155,62,F,Firozabad,Current,498200.78,824199.48,29111.56,Yes
156,65,F,Agra,Loan,205529.92,55910.36,5448.78,Yes
157,65,M,Asansol,Current,211306.4,82043.9,293.47,Yes
158,19,M,Berhampur,Savings,245371.23,777785.99,11118.19,No
159,62,M,Khora ,Loan,438241.36,849532.79,49788.43,Yes
160,27,M,Ichalkaranji,Savings,418599.36,940418.29,14445.25,Yes
161,58,F,Mumbai,Current,489765.2,158700.92,9051.62,No
162,65,M,Berhampur,Loan,225199.08,17642.27,15070.85,Yes
163,56,M,Begusarai,Current,178149.87,931741.52,21911.71,Yes
164,45,M,Rajpur Sonarpur,Current,171191.73,991311.59,45308.74,Yes
165,58,M,Guntakal,Loan,16776.68,271079.18,35409.39,No
166,45,M,Thrissur,Loan,405555.83,788416.85,2515.64,No
167,57,F,Bathinda,Current,280649.2,505935.91,7676.15,No
168,36,F,Visakhapatnam,Current,233584.69,238695.3,11206.75,Yes
169,52,F,Berhampore,Current,329407.58,777759.55,10952.18,Yes
170,43,M,Arrah,Savings,248411.31,640775.96,30795.27,No
171,63,M,Katihar,Loan,252036.67,282199.66,45691.33,Yes
172,30,F,Jhansi,Savings,150424.18,283200.62,29692.25,No
173,64,M,Raurkela Industrial Township,Current,53309.63,612313.17,44764.35,Yes
174,51,F,Fatehpur,Current,477751.39,750913.99,40386.66,Yes
175,54,M,Kollam,Current,3386.63,296763.17,39615.64,No
176,18,M,Gwalior,Savings,255896.35,146782.66,35051.67,No
177,19,M,Bhatpara,Loan,309780.56,844551.7,35287.95,No
178,61,M,Gurgaon,Savings,268028.1,146722.66,14805.0,No
179,18,M,Thane,Loan,399228.84,11675.03,23430.63,No
180,48,M,Avadi,Savings,270138.42,387076.9,18185.97,Yes
181,51,F,Rajpur Sonarpur,Current,83458.13,95623.97,23888.17,Yes
182,42,F,Rajahmundry,Current,323675.65,805046.3,48042.22,Yes
183,33,M,Aurangabad,Savings,14291.16,695924.89,5415.42,Yes
184,23,M,Shahjahanpur,Savings,497385.23,823557.88,14967.25,Yes
185,44,M,Secunderabad,Loan,15098.41,916047.25,1839.94,Yes
186,26,M,Jorhat,Savings,112979.8,561485.83,31192.75,No
187,34,M,Dibrugarh,Loan,364253.36,2472.92,15291.26,No
188,63,M,Jhansi,Current,417638.39,266345.4,24504.46,Yes
189,31,M,Guntur,Loan,379779.01,470414.59,28571.38,No
190,19,M,Tiruvottiyur,Savings,340480.1,430568.62,1183.48,No
191,27,F,Chandrapur,Loan,401538.19,56354.19,29391.25,No
192,48,F,Bidhannagar,Savings,45644.52,821455.91,21916.18,No
193,52,M,Bidar,Current,95982.19,768078.9,1615.57,No
194,44,F,Guna,Current,486992.83,417593.39,7631.99,Yes
195,56,F,Solapur,Savings,230280.09,326298.87,38010.86,No
196,48,M,Pimpri-Chinchwad,Savings,423598.63,7146.96,5727.71,Yes
197,20,F,Raichur,Loan,495687.0,221764.73,44769.72,Yes
198,63,M,Pimpri-Chinchwad,Savings,266743.53,523083.82,17965.81,Yes
199,65,M,Uluberia,Savings,130316.49,635117.62,18045.8,Yes
200,62,M,Siwan,Current,431879.98,778186.18,26626.2,No
201,44,M,Kolhapur,Savings,224035.12,488693.29,30996.08,No
202,43,F,Chittoor,Current,324072.05,780340.31,20237.28,Yes
203,19,F,Saharanpur,Savings,319526.5,148181.77,2612.51,No
204,28,M,Jalandhar,Current,107199.95,562443.39,49110.38,No
205,60,F,Berhampur,Loan,70628.02,815730.6,22320.68,Yes
206,43,F,Mumbai,Savings,87319.19,288380.99,173.66,No
207,24,M,Guntakal,Loan,399053.88,593838.19,40747.01,No
208,22,M,Bhavnagar,Current,362907.82,217583.15,39760.1,Yes
209,59,M,Bulandshahr,Loan,158326.64,994946.67,37461.44,No
210,50,M,Gaya,Loan,90582.14,249203.21,15945.23,Yes
211,37,M,Gulbarga,Current,432394.15,195244.45,37982.23,No
212,21,F,Dehri,Current,454221.78,737789.83,40147.54,Yes
213,27,M,Ludhiana,Current,406048.08,391119.95,8784.58,No
214,58,F,Navi Mumbai,Current,457610.64,355055.31,46223.6,No
215,63,M,Anand,Current,176672.59,31260.91,32655.03,Yes
216,42,F,Thoothukudi,Current,73345.73,328212.42,25378.13,Yes
217,49,M,Bhusawal,Savings,36981.99,826268.04,42589.34,No
218,21,F,Ambala,Savings,292685.82,464655.81,17052.17,Yes
219,47,M,Allahabad,Current,2076.54,730716.52,38041.49,Yes
220,55,F,Ambarnath,Loan,221634.92,609710.88,4066.34,Yes
221,39,M,Anantapur,Current,292054.1,643376.93,4498.53,Yes
222,46,M,Bidhannagar,Loan,218843.3,341815.25,16406.21,No
223,56,F,Coimbatore,Loan,81168.76,201104.74,7226.97,No
224,31,F,Ambattur,Current,189198.05,838707.71,5580.45,Yes
225,26,F,Khora ,Loan,235845.75,601715.89,13758.2,No
226,24,M,Noida,Current,225893.13,398619.1,88.9,No
227,21,F,Amroha,Loan,96240.02,652316.29,20091.65,Yes
228,51,M,Hindupur,Loan,139634.2,610907.98,1204.76,No
229,36,F,Aurangabad,Current,83321.25,307524.62,31326.02,No
230,64,F,Khammam,Current,396226.55,900531.34,4825.29,Yes
231,34,F,Nagpur,Savings,475742.83,190404.44,27238.46,Yes
232,35,F,Shimla,Savings,19499.79,5089.14,26068.7,No
233,28,F,Kollam,Current,110065.54,606286.17,32770.97,Yes
234,35,F,Ambattur,Loan,72739.05,525291.25,37124.45,No
235,24,M,Adoni,Current,279335.47,361890.54,12155.18,Yes
236,48,F,Pali,Savings,322153.96,39754.91,31078.46,Yes
237,47,F,Bhimavaram,Savings,141003.37,111206.74,10157.15,No
238,22,M,Malegaon,Savings,438385.84,482690.88,20539.74,Yes
239,43,M,Bellary,Savings,170473.38,99126.09,44361.04,Yes
240,47,F,Bettiah,Loan,109775.37,447365.51,11768.49,Yes
241,49,F,Tiruvottiyur,Current,96879.17,516965.23,17084.25,Yes
242,21,M,Danapur,Loan,191312.49,734600.24,8558.26,Yes
243,44,F,Bangalore,Savings,204486.76,295662.79,25847.96,No
244,19,M,Rourkela,Current,268743.69,428692.45,9180.08,Yes
245,54,F,Rajahmundry,Savings,108935.49,524709.32,14147.23,Yes
246,50,F,Darbhanga,Current,57927.15,725127.3,47005.96,No
247,57,F,Miryalaguda,Savings,145176.4,766046.43,2254.12,Yes
248,29,F,Khandwa,Savings,266623.36,838377.33,28039.84,Yes
249,65,F,Saharsa,Loan,10598.5,56847.08,10080.53,Yes
250,29,F,Bhusawal,Savings,60311.67,384569.55,4293.19,No
251,26,M,Sasaram,Current,190146.67,774616.63,45085.47,No
252,23,F,Amritsar,Loan,369889.03,424423.39,44571.86,Yes
253,36,F,Miryalaguda,Loan,313771.2,235797.56,46970.73,Yes
254,32,F,Navi Mumbai,Current,24567.62,22051.35,5519.82,Yes
255,40,F,Singrauli,Current,395300.87,427706.72,37477.73,Yes
256,28,F,Mirzapur,Loan,234513.5,441274.52,45484.39,No
257,54,F,Kavali,Savings,422780.29,507195.15,44834.03,No
258,51,M,Meerut,Current,381619.61,230236.1,43723.74,No
259,29,M,Aurangabad,Current,436189.67,555773.02,15563.93,No
260,39,F,Raiganj,Current,421704.2,484240.38,30437.23,Yes
261,41,M,Panihati,Savings,400520.33,982373.61,46150.08,Yes
262,48,M,Chinsurah,Savings,307475.46,280871.92,13868.7,Yes
263,51,F,Anantapuram,Savings,451887.94,31420.94,19083.39,No
264,65,F,Akola,Savings,293790.47,668123.71,47476.52,No
265,27,M,Amaravati,Loan,103389.98,112890.67,405.68,Yes
266,54,F,Durg,Loan,71692.57,407497.66,29577.04,No
267,63,M,Sambalpur,Current,331265.69,877025.15,25259.2,Yes
268,45,M,Silchar,Loan,240868.52,614120.79,6256.43,No
269,33,F,Nellore,Loan,436450.61,950699.88,32519.03,Yes
270,21,M,Thiruvananthapuram,Savings,338349.8,388414.82,28977.77,No
271,20,F,Amritsar,Loan,225518.88,374794.66,18191.7,Yes
272,61,F,Ballia,Loan,456701.08,330879.28,49613.21,Yes
273,51,F,Mirzapur,Savings,270623.5,696134.97,12875.41,Yes
274,58,M,Ajmer,Loan,396730.66,570612.46,12292.73,No
275,22,M,Ahmednagar,Current,445666.98,40826.98,18139.82,Yes
276,52,M,Visakhapatnam,Savings,265736.37,972929.69,15823.78,Yes
277,35,M,Tirupati,Current,47387.7,479008.38,22312.07,Yes
278,56,F,Bhiwani,Current,86223.93,243150.24,22795.13,Yes
279,31,M,Karnal,Loan,32250.11,684312.65,2031.67,No
280,27,F,Thrissur,Current,393617.09,260495.71,11680.93,No
281,56,M,Jaunpur,Savings,98240.66,472979.1,22299.02,Yes
282,65,F,Thrissur,Current,289006.64,294811.61,8344.7,No
283,51,M,Rajahmundry,Current,166763.65,675886.26,3358.66,No
284,62,F,Ghaziabad,Savings,38869.11,302591.14,43875.58,Yes
285,65,M,Jodhpur,Savings,391633.08,616332.57,16070.06,No
286,42,F,Varanasi,Loan,94246.03,194171.34,43875.52,No
287,20,M,Ranchi,Loan,100923.52,249443.66,17598.96,Yes
288,38,F,Moradabad,Current,32550.35,519240.5,12154.25,Yes
289,29,F,Srikakulam,Savings,418743.19,755277.18,35080.04,No
290,56,M,Nashik,Savings,474116.02,809092.45,40023.87,Yes
291,29,M,Mirzapur,Loan,374250.9,897705.18,32494.98,No
292,21,F,Orai,Savings,249341.85,589871.08,10091.7,No
293,61,M,Anantapuram,Current,459742.48,914181.53,12884.0,Yes
294,50,M,Haldia,Savings,150872.54,462155.9,32271.33,No
295,57,M,Jaipur,Current,138905.45,950043.77,48481.62,Yes
296,34,F,Srinagar,Savings,413339.59,554900.64,25206.74,No
297,52,F,Aizawl,Savings,321565.5,22104.03,11675.0,Yes
298,59,M,Ongole,Current,337176.03,273598.76,25310.12,Yes
299,59,M,Pune,Loan,157303.9,37378.92,29689.43,Yes
300,63,F,Hubli–Dharwad,Savings,497654.67,110008.29,26862.0,No
301,64,M,Madurai,Loan,476057.07,646334.76,39981.43,No
302,41,F,Udaipur,Loan,125052.81,957726.38,39225.84,Yes
303,34,M,Raipur,Savings,6250.51,804398.1,14556.0,No
304,48,F,Ozhukarai,Loan,295417.48,171686.33,37759.76,No
305,21,F,Ambattur,Loan,52129.25,703417.43,433.61,No
306,64,F,Thanjavur,Savings,178501.35,609188.53,1928.55,No
307,65,F,Sikar,Current,241685.62,557677.98,8250.23,No
308,22,M,Thiruvananthapuram,Current,107251.63,110010.81,11014.73,Yes
309,28,F,Thoothukudi,Savings,407726.19,783441.13,26513.07,Yes
310,59,F,Rajahmundry,Savings,268702.09,504715.47,10425.03,Yes
311,21,M,Belgaum,Savings,256238.93,654905.95,45744.21,No
312,36,M,Darbhanga,Loan,127197.04,485441.71,46063.19,No
313,33,M,Raiganj,Savings,236807.2,310937.67,24762.57,No
314,27,M,Jehanabad,Current,467577.93,650374.0,1373.79,Yes
315,41,F,Naihati,Current,94849.85,750508.49,128.1,No
316,43,F,Darbhanga,Savings,355245.43,616713.86,29946.36,No
317,37,M,Patiala,Savings,264825.24,676536.89,38499.31,Yes
318,24,F,Arrah,Current,365996.11,275810.05,49947.19,Yes
319,30,F,Aurangabad,Loan,294716.02,744862.6,2754.68,No
320,50,M,Vellore,Loan,114718.97,975717.83,36399.14,No
321,49,F,Warangal,Current,38036.5,687701.99,41910.99,Yes
322,33,M,Kolkata,Loan,278822.82,800178.04,30348.59,Yes
323,65,M,Tumkur,Savings,461759.87,434779.1,35284.78,Yes
324,52,M,Phusro,Current,470603.06,423752.04,42110.27,No
325,36,M,Ranchi,Savings,276808.14,80728.79,32971.0,No
326,62,F,Bahraich,Savings,463508.82,348428.46,32483.85,No
327,56,F,Pune,Loan,104852.95,713751.07,42409.99,No
328,55,M,Bhiwandi,Loan,182968.12,625347.32,26470.97,No
329,50,M,Ghaziabad,Current,10748.97,761749.72,25966.89,Yes
330,46,F,Thrissur,Current,108227.93,814711.15,44548.51,No
331,51,F,Serampore,Loan,74753.49,844949.04,523.77,No
332,30,M,Amroha,Savings,262403.25,595102.75,42292.82,Yes
333,24,F,Dehradun,Loan,209577.08,122418.55,25577.54,No
334,37,M,Dharmavaram,Current,35087.48,395718.23,22650.3,Yes
335,53,F,Orai,Current,274745.09,124687.88,16817.49,No
336,61,M,Mirzapur,Loan,30519.83,427749.48,37480.23,No
337,53,F,Durg,Loan,397257.12,185346.23,20936.7,Yes
338,19,F,Parbhani,Current,216012.19,103357.31,15659.02,Yes
339,41,M,Raiganj,Loan,484320.14,221537.35,2931.16,No
340,26,M,Haridwar,Savings,189023.51,29946.75,45310.7,Yes
341,34,M,Srinagar,Current,381006.44,148495.23,44353.43,Yes
342,52,F,Sagar,Loan,130603.04,226388.38,2231.38,Yes
343,52,F,Tadepalligudem,Loan,107278.38,794236.29,28524.3,Yes
344,61,F,Hindupur,Savings,289932.15,740905.74,8256.12,Yes
345,23,M,Sambhal,Loan,2228.36,607770.69,8426.06,No
346,63,F,Bilaspur,Savings,370190.17,619162.9,32129.32,Yes
347,46,F,Thoothukudi,Loan,78797.0,717556.61,13598.08,No
348,51,F,Ahmednagar,Loan,181693.29,136531.0,39190.04,No
349,57,F,Hajipur,Current,336534.82,460151.17,43230.02,No
350,23,M,Machilipatnam,Savings,81401.2,616830.5,45400.86,No
351,54,M,Katni,Loan,200328.1,692530.76,20925.13,No
352,27,M,Chennai,Savings,189216.18,296034.31,10550.05,Yes
353,39,M,Muzaffarpur,Loan,489851.39,331188.01,4794.18,No
354,25,F,Kadapa,Current,9656.13,631513.76,39973.23,Yes
355,60,F,Ranchi,Current,219868.29,725265.6,26188.48,No
356,54,F,Tirupati,Savings,22243.64,421047.19,11579.38,Yes
357,24,M,Phusro,Savings,214622.54,274800.1,40598.19,Yes
358,61,M,Secunderabad,Savings,417985.46,567875.4,16426.22,No
359,36,F,Thrissur,Loan,225712.13,516930.97,32438.76,Yes
360,61,F,Raebareli,Loan,482589.75,214627.09,41435.4,Yes
361,47,F,Raiganj,Current,372986.81,173071.3,9589.05,Yes
362,41,F,Ambala,Loan,410098.63,764608.88,14844.58,Yes
363,36,M,Ahmednagar,Loan,326486.7,283891.43,5747.15,Yes
364,64,M,Vasai-Virar,Loan,174042.5,473884.46,40562.15,No
365,55,M,Proddatur,Loan,388370.0,923836.66,19488.07,Yes
366,44,F,Katni,Current,351328.33,936914.46,29050.32,No
367,28,M,Nagaon,Savings,94066.53,274221.3,35460.68,Yes
368,19,F,Raipur,Savings,453856.95,240477.58,20661.82,Yes
369,35,M,Ahmednagar,Savings,270094.04,492680.07,43631.81,No
370,32,M,Warangal,Current,209201.1,35155.57,28674.06,Yes
371,46,M,Dewas,Savings,378582.24,80518.87,1848.88,No
372,57,M,Bhind,Loan,43877.54,290628.82,44222.47,No
373,37,F,Pallavaram,Savings,289958.45,21146.76,44472.1,Yes
374,22,F,Mehsana,Loan,472744.97,887894.1,18564.6,Yes
375,37,F,Kumbakonam,Current,221224.29,27508.49,44576.97,No
376,26,F,Aurangabad,Loan,300217.45,975748.1,28129.44,Yes
377,34,M,Jhansi,Loan,486846.32,840917.4,36488.76,No
378,21,F,Saharsa,Current,405145.0,1018.6,15759.69,Yes
379,38,F,Mirzapur,Loan,358230.27,904250.3,3231.04,No
380,46,M,Faridabad,Savings,21294.18,780781.31,11192.66,No
381,27,M,Sikar,Loan,309616.7,445525.06,36447.73,No
382,34,M,Gaya,Current,461487.18,59308.89,19008.18,No
383,41,M,Loni,Savings,483324.63,779324.62,42965.72,No
384,23,F,Kolkata,Loan,27825.45,59387.01,17148.63,Yes
385,46,M,Aurangabad,Loan,55476.76,108485.07,38543.28,No
386,64,F,Asansol,Loan,100997.37,829036.57,46671.98,No
387,43,F,Khammam,Current,267189.36,911305.15,17690.45,No
388,39,M,Silchar,Savings,50683.29,783222.35,3112.27,No
389,40,M,Aizawl,Current,474639.93,939335.82,15609.43,No
390,20,M,Bhusawal,Loan,201546.29,388061.63,32126.99,No
391,58,F,Jalandhar,Loan,438876.93,845997.5,47817.69,No
392,22,M,Asansol,Savings,31510.41,105733.48,29837.53,No
393,29,F,Kollam,Savings,189549.48,73406.52,28410.63,No
394,47,M,Bhalswa Jahangir Pur,Current,100037.5,543520.6,5038.1,No
395,23,F,Kollam,Current,309616.96,60598.9,42558.08,Yes
396,22,F,Dehradun,Loan,3821.65,355189.1,10643.02,Yes
397,26,M,Sangli-Miraj & Kupwad,Savings,471696.93,299551.36,6784.95,No
398,27,F,Alwar,Loan,318915.9,256051.97,49474.59,Yes
399,22,F,Bhubaneswar,Loan,229478.77,491399.22,19579.46,No
400,28,M,Satna,Current,59161.6,79082.08,32057.07,No
401,24,F,Mirzapur,Current,284557.49,516306.35,49212.52,Yes
402,57,M,Vijayanagaram,Loan,253358.87,558133.17,37789.48,Yes
403,45,M,Mysore,Loan,200964.59,570725.16,31977.98,No
404,50,M,Ramagundam,Current,119825.94,535142.95,4141.57,Yes
405,53,F,Rajahmundry,Savings,305392.57,242573.81,11753.12,No
406,59,F,Bahraich,Current,56893.84,310205.54,26527.41,No
407,34,M,Hosur,Loan,187892.52,794479.2,26604.81,No
408,57,M,Malegaon,Current,27792.63,404790.96,13511.23,No
409,29,M,Gwalior,Savings,6902.15,704888.52,2667.75,Yes
